"['3/2/14', '3/1/14']","[0.024601871147751808, 0.27903103828430176, 0.16611221432685852, 0.039882369339466095, -0.03092055767774582]"
"['3/3/14', '3/2/14']","[-0.09352876991033554, 0.4182261824607849, 0.2862899899482727, 0.038850460201501846, 0.07796673476696014]"
"['3/4/14', '3/3/14']","[-0.1307758092880249, 0.41757509112358093, 0.4748896658420563, 0.3632129728794098, 0.18473964929580688]"
"['3/5/14', '3/4/14']","[-0.023003777489066124, 0.3474865257740021, 0.3553946912288666, 0.23379109799861908, 0.11222044378519058]"
"['3/7/14', '3/5/14']","[0.042268797755241394, 0.23323488235473633, 0.12247523665428162, 0.07966121286153793, -0.06535328179597855]"
"['3/8/14', '3/7/14']","[0.04763448238372803, 0.24242927134037018, 0.13621455430984497, -0.03225989267230034, 0.03170202299952507]"
"['3/9/14', '3/8/14']","[-0.08032502233982086, 0.419281005859375, 0.27416980266571045, 0.06966941058635712, -0.017787456512451172]"
"['3/10/14', '3/9/14']","[-0.07940579950809479, 0.4345887005329132, 0.24946273863315582, -0.016447648406028748, 0.011186487972736359]"
"['3/11/14', '3/10/14']","[0.09495405107736588, 0.1787598878145218, 0.19167737662792206, 0.08551909029483795, 0.10707651823759079]"
"['3/12/14', '3/11/14']","[0.0641430988907814, 0.29830947518348694, 0.21940916776657104, 0.026867642998695374, 0.05624833703041077]"
"['3/13/14', '3/12/14']","[0.05492141842842102, 0.24252834916114807, 0.24300390481948853, 0.21704694628715515, -0.023816443979740143]"
"['3/15/14', '3/13/14']","[-0.01873437874019146, 0.37050774693489075, 0.2593996524810791, 0.09548428654670715, -0.00046509504318237305]"
"['3/16/14', '3/15/14']","[0.07921993732452393, 0.2672062814235687, 0.24152988195419312, 0.11758676171302795, 0.0659157857298851]"
"['3/19/14', '3/16/14']","[0.10998864471912384, 0.20738914608955383, 0.19923394918441772, 0.10926087945699692, 0.009134165942668915]"
"['3/20/14', '3/19/14']","[0.0055103059858083725, 0.3028748035430908, 0.1798887848854065, -0.005124994087964296, 0.0057582855224609375]"
"['3/21/14', '3/20/14']","[-0.045923538506031036, 0.3625113070011139, 0.1996203064918518, 0.06334646046161652, -0.04982737451791763]"
"['3/25/14', '3/21/14']","[0.06932980567216873, 0.23602429032325745, 0.22439906001091003, 0.1441369354724884, 0.026782624423503876]"
"['3/26/14', '3/25/14']","[0.039075493812561035, 0.25403133034706116, 0.2173154056072235, 0.2014545202255249, -0.035761065781116486]"
"['3/27/14', '3/26/14']","[-0.0023242365568876266, 0.31951814889907837, 0.2512441575527191, 0.11331518739461899, 0.04947035014629364]"
"['3/29/14', '3/27/14']","[0.1387765258550644, 0.18383876979351044, 0.17483076453208923, 0.060949940234422684, 0.050619788467884064]"
"['3/31/14', '3/29/14']","[0.11428339034318924, 0.08846081793308258, 0.09669690579175949, 0.06096160411834717, 0.06279998272657394]"
