"['3/2/14', '3/1/14']","[-0.0018269293941557407, 0.12018057703971863, -0.045628972351551056, -0.2168760895729065, 0.691178560256958]"
"['3/3/14', '3/2/14']","[-0.03838590905070305, 0.3386240303516388, -0.15037751197814941, -0.41704821586608887, 0.9377484321594238]"
"['3/4/14', '3/3/14']","[-0.03746049478650093, 0.24526965618133545, -0.2191583514213562, -0.34484538435935974, 1.035940408706665]"
"['3/5/14', '3/4/14']","[-0.03503604605793953, 0.34832602739334106, -0.15105405449867249, -0.42417967319488525, 1.1130589246749878]"
"['3/7/14', '3/5/14']","[0.024262813851237297, 0.11182785034179688, -0.06713217496871948, -0.05627889186143875, 0.9650608897209167]"
"['3/8/14', '3/7/14']","[-0.18366920948028564, 0.30797451734542847, -0.12230376154184341, -0.413953572511673, 1.0558781623840332]"
"['3/9/14', '3/8/14']","[0.03777259588241577, 0.2422075867652893, -0.09625985473394394, -0.302312433719635, 0.727767825126648]"
"['3/10/14', '3/9/14']","[-0.004670219961553812, 0.3402196764945984, -0.11064278334379196, -0.4055096209049225, 0.8476605415344238]"
"['3/11/14', '3/10/14']","[-0.11111004650592804, 0.4545693099498749, -0.056837297976017, -0.4698813855648041, 1.2528005838394165]"
"['3/12/14', '3/11/14']","[-0.038008321076631546, 0.44961869716644287, -0.09429372102022171, -0.5003606081008911, 1.0985208749771118]"
"['3/13/14', '3/12/14']","[0.05303506925702095, 0.20783862471580505, -0.04567088931798935, -0.3175482451915741, 1.0399566888809204]"
"['3/15/14', '3/13/14']","[-0.006662400905042887, 0.34676307439804077, -0.08844488859176636, -0.42449501156806946, 1.0193599462509155]"
"['3/16/14', '3/15/14']","[-0.06342494487762451, 0.44084447622299194, -0.07586216926574707, -0.5027261972427368, 1.19412100315094]"
"['3/19/14', '3/16/14']","[0.049754176288843155, 0.2891573905944824, -0.05097801238298416, -0.31995049118995667, 0.9865674376487732]"
"['3/20/14', '3/19/14']","[-0.02947750873863697, 0.3921217918395996, -0.08323618769645691, -0.44007381796836853, 1.0067867040634155]"
"['3/21/14', '3/20/14']","[0.028383126482367516, 0.21115906536579132, -0.07150182127952576, -0.0880744531750679, 1.0196900367736816]"
"['3/25/14', '3/21/14']","[-0.016342150047421455, 0.40609076619148254, -0.06051347404718399, -0.4511837065219879, 1.1545292139053345]"
"['3/26/14', '3/25/14']","[-0.10005524754524231, 0.283869206905365, -0.07540825009346008, -0.45547959208488464, 1.273722529411316]"
"['3/27/14', '3/26/14']","[-0.08749744296073914, 0.4519941210746765, -0.0988820493221283, -0.5356677770614624, 1.220632553100586]"
"['3/29/14', '3/27/14']","[-0.027895214036107063, 0.438050240278244, -0.05816417932510376, -0.47605499625205994, 1.2027024030685425]"
"['3/31/14', '3/29/14']","[-0.052912015467882156, 0.2714552879333496, -0.009610719978809357, -0.16251280903816223, 1.1019930839538574]"
"['4/2/14', '3/31/14']","[-0.13131888210773468, 0.21891696751117706, -0.07895082235336304, -0.3080002963542938, 0.9945049285888672]"
"['4/3/14', '4/2/14']","[-0.02826523780822754, 0.014400594867765903, -0.014022525399923325, -0.12802711129188538, 0.9486480355262756]"
"['4/4/14', '4/3/14']","[0.3279965817928314, -0.29090702533721924, 0.062068015336990356, 0.21364739537239075, 0.3822222054004669]"
"['4/5/14', '4/4/14']","[0.22070007026195526, -0.27029308676719666, 0.035381048917770386, 0.11234715580940247, 0.4828599989414215]"
"['4/6/14', '4/5/14']","[0.3090309798717499, -0.3174434304237366, 0.058463796973228455, 0.21951788663864136, 0.33289289474487305]"
"['4/7/14', '4/6/14']","[0.31655311584472656, -0.30808529257774353, 0.06407587230205536, 0.22221016883850098, 0.3409920036792755]"
"['4/8/14', '4/7/14']","[0.19715425372123718, -0.24620729684829712, -0.0032911021262407303, 0.09979165345430374, 0.30480092763900757]"
"['4/9/14', '4/8/14']","[0.23550309240818024, -0.4642898440361023, 0.05752072483301163, 0.43288183212280273, 0.5541641712188721]"
"['4/11/14', '4/9/14']","[0.11922705918550491, -0.1999615877866745, -0.015597738325595856, 0.1540956199169159, 0.5950542092323303]"
"['4/12/14', '4/11/14']","[0.12994229793548584, 0.044173676520586014, -0.015658743679523468, -0.024282023310661316, 0.45263901352882385]"
"['4/13/14', '4/12/14']","[0.06484225392341614, -0.010926899500191212, -0.10935916751623154, -0.10008130222558975, 0.24888406693935394]"
"['4/14/14', '4/13/14']","[0.07249666005373001, 0.02803140878677368, -0.1029694527387619, -0.13834735751152039, 0.45874202251434326]"
"['4/16/14', '4/14/14']","[0.10633209347724915, 0.18412797152996063, -0.06693043559789658, -0.19351726770401, 0.6991828680038452]"
"['4/18/14', '4/16/14']","[-0.05355982109904289, 0.2599830627441406, -0.07537766546010971, -0.302608847618103, 0.8912606835365295]"
"['4/19/14', '4/18/14']","[-0.2843736708164215, 0.3987095057964325, -0.058045752346515656, -0.4717961251735687, 1.4217537641525269]"
"['4/20/14', '4/19/14']","[-0.060517989099025726, -0.08382522314786911, -0.06951010972261429, -0.008680909872055054, 0.5083387494087219]"
"['4/21/14', '4/20/14']","[0.06842090934515, 0.025397226214408875, 0.018601298332214355, 0.025085192173719406, 0.5811913013458252]"
"['4/22/14', '4/21/14']","[0.18067874014377594, 0.04945424944162369, -0.0316927507519722, -0.05075862258672714, 0.40382668375968933]"
"['4/23/14', '4/22/14']","[0.07611718773841858, 0.03170108050107956, -0.08627784997224808, -0.11012250930070877, 0.25473928451538086]"
"['4/24/14', '4/23/14']","[0.1347339153289795, 0.013314205221831799, -0.05273298919200897, -0.08028517663478851, 0.3874070346355438]"
"['4/25/14', '4/24/14']","[0.14382009208202362, -0.13587430119514465, -0.009648501873016357, 0.27601590752601624, 0.6809625625610352]"
"['4/26/14', '4/25/14']","[0.1577640324831009, 0.0823286920785904, -0.046262405812740326, -0.028604596853256226, 0.647935152053833]"
"['4/27/14', '4/26/14']","[0.11763647943735123, 0.07413429021835327, -0.04877258837223053, -0.10243577510118484, 0.4237193465232849]"
"['5/1/14', '4/27/14']","[0.10262671113014221, 0.25580671429634094, -0.041994936764240265, -0.2304638922214508, 0.7365791201591492]"
"['5/2/14', '5/1/14']","[0.15009362995624542, 0.11188949644565582, -0.05503406375646591, -0.18194520473480225, 0.6367812156677246]"
"['5/3/14', '5/2/14']","[0.1287042498588562, 0.027041159570217133, -0.08252599835395813, -0.1349334418773651, 0.4350067377090454]"
"['5/4/14', '5/3/14']","[0.03928140178322792, 0.062314823269844055, -0.10209404677152634, -0.1820959448814392, 0.3834294080734253]"
"['5/6/14', '5/4/14']","[0.13880975544452667, 0.2033916413784027, -0.07144740223884583, -0.22667214274406433, 0.7224738001823425]"
"['5/7/14', '5/6/14']","[0.18103526532649994, 0.10818787664175034, -0.07796180993318558, -0.16694340109825134, 0.5318282842636108]"
"['5/8/14', '5/7/14']","[0.19580413401126862, 0.023431088775396347, -0.05413815379142761, -0.08880003541707993, 0.4851519763469696]"
"['5/9/14', '5/8/14']","[0.01741643063724041, 0.27833783626556396, -0.10896483808755875, -0.412319153547287, 0.9424031972885132]"
"['5/10/14', '5/9/14']","[0.20177939534187317, 0.10445886105298996, -0.05689186602830887, -0.14060786366462708, 0.5387081503868103]"
"['5/11/14', '5/10/14']","[-0.003741044085472822, 0.14849238097667694, -0.14800944924354553, -0.2814891040325165, 0.4050832688808441]"
"['5/12/14', '5/11/14']","[0.031474534422159195, -0.17190203070640564, 0.0836116299033165, 0.07077284902334213, 0.43629997968673706]"
"['5/13/14', '5/12/14']","[0.1436648964881897, -0.23566420376300812, -0.024728737771511078, 0.06549293547868729, 0.2692511975765228]"
"['5/14/14', '5/13/14']","[0.21336109936237335, -0.2846469283103943, 0.0519341379404068, 0.11358960717916489, 0.5702956318855286]"
"['5/15/14', '5/14/14']","[0.21558377146720886, 0.01399701926857233, -0.030710093677043915, -0.05120987445116043, 0.4370032846927643]"
"['5/16/14', '5/15/14']","[0.15526644885540009, 0.11792530119419098, -0.05554840713739395, -0.14466461539268494, 0.4950764775276184]"
"['5/17/14', '5/16/14']","[0.14489252865314484, -0.10876236110925674, -0.03358222171664238, 0.015294291079044342, 0.34162047505378723]"
"['5/18/14', '5/17/14']","[0.19418136775493622, 0.0483284629881382, -0.04139252379536629, -0.05225951224565506, 0.36296144127845764]"
"['5/20/14', '5/18/14']","[0.0403098426759243, 0.08608362823724747, -0.08781801909208298, -0.07275490462779999, 0.5891234874725342]"
"['5/21/14', '5/20/14']","[0.01001384574919939, 0.1680738925933838, -0.06974590569734573, -0.32089149951934814, 0.8739496469497681]"
"['5/22/14', '5/21/14']","[0.1320180892944336, 0.11599020659923553, -0.08862991631031036, -0.16788780689239502, 0.559253454208374]"
"['5/23/14', '5/22/14']","[0.08213574439287186, 0.17527373135089874, -0.07829763740301132, -0.26584959030151367, 0.7579831480979919]"
"['5/24/14', '5/23/14']","[0.12818856537342072, 0.11009557545185089, -0.02861153334379196, -0.11896129697561264, 0.44315120577812195]"
"['5/25/14', '5/24/14']","[0.04323486238718033, 0.17301654815673828, -0.05602360516786575, -0.2206961214542389, 0.5427899956703186]"
"['5/26/14', '5/25/14']","[0.16835571825504303, -0.0032921014353632927, -0.0029787439852952957, -0.053668372333049774, 0.5099613666534424]"
"['5/27/14', '5/26/14']","[0.1877821832895279, 0.11279161274433136, 0.008939923718571663, -0.08183089643716812, 0.5072410106658936]"
"['5/28/14', '5/27/14']","[-0.012516397051513195, 0.1486845314502716, -0.024635203182697296, -0.23858562111854553, 0.6963893175125122]"
