"['3/2/14', '3/1/14']","[3.924557685852051, -3.363283634185791, -0.15308302640914917, -0.33984363079071045, 5.637881278991699]"
"['3/3/14', '3/2/14']","[4.199396133422852, -2.3742880821228027, 1.0784858465194702, -0.34450194239616394, 3.7053918838500977]"
"['3/4/14', '3/3/14']","[3.9525418281555176, -1.4534919261932373, 1.3690372705459595, -0.9017361402511597, 2.7852606773376465]"
"['3/5/14', '3/4/14']","[2.508467674255371, -1.2521716356277466, 0.12081804126501083, 0.33964282274246216, 2.975137710571289]"
"['3/7/14', '3/5/14']","[4.3345184326171875, -2.9501466751098633, 0.4380161166191101, -0.08103392273187637, 4.694461822509766]"
"['3/8/14', '3/7/14']","[5.231006622314453, -5.415045738220215, 0.6419156789779663, 0.5242082476615906, 8.179600715637207]"
"['3/9/14', '3/8/14']","[2.7952215671539307, -2.950418710708618, -0.4302702844142914, 0.21189717948436737, 4.88322114944458]"
"['3/10/14', '3/9/14']","[4.722672462463379, -3.3412275314331055, 0.7701488733291626, 0.3136847913265228, 6.318606376647949]"
"['3/11/14', '3/10/14']","[4.385405540466309, -1.8267695903778076, 0.13044321537017822, 0.48198485374450684, 5.194106578826904]"
"['3/12/14', '3/11/14']","[3.906275987625122, -1.8268450498580933, -0.11935766786336899, 0.5022872686386108, 3.970045804977417]"
"['3/13/14', '3/12/14']","[3.3960747718811035, -2.223384141921997, -0.07557769864797592, 1.0881544351577759, 5.119430065155029]"
"['3/15/14', '3/13/14']","[3.98414945602417, -0.8473794460296631, 2.4974727630615234, 0.33607274293899536, 1.744974970817566]"
"['3/16/14', '3/15/14']","[2.744636058807373, -0.8232825994491577, 0.5719545483589172, 1.2608320713043213, 2.963252544403076]"
"['3/19/14', '3/16/14']","[5.266842842102051, -1.9506365060806274, 2.0040714740753174, 0.234943225979805, 4.750133514404297]"
"['3/20/14', '3/19/14']","[4.627782344818115, -1.2550318241119385, 1.2759722471237183, 0.38887330889701843, 4.691142559051514]"
"['3/21/14', '3/20/14']","[3.1216773986816406, -0.9263274073600769, 0.548420250415802, 0.9333370923995972, 3.5538463592529297]"
