"['3/2/14', '3/1/14']","[-6.201687812805176, -3.4922728538513184, 4.3007707595825195, -6.664116859436035, 5.654527187347412]"
"['3/3/14', '3/2/14']","[-5.106590747833252, -2.430577278137207, 3.2984466552734375, -5.202322959899902, 3.4963831901550293]"
"['3/4/14', '3/3/14']","[-3.7923214435577393, -3.113568067550659, 3.271350145339966, -3.2410519123077393, 2.4271411895751953]"
"['3/5/14', '3/4/14']","[-5.118991374969482, -3.058109998703003, 3.4769113063812256, -4.8026814460754395, 3.3297243118286133]"
"['3/7/14', '3/5/14']","[-6.277864456176758, -4.249489784240723, 4.3289289474487305, -6.428121566772461, 5.063241004943848]"
"['3/8/14', '3/7/14']","[-8.293180465698242, -4.831984519958496, 4.873628616333008, -9.08962631225586, 8.395655632019043]"
"['3/9/14', '3/8/14']","[-7.769025802612305, -4.868853569030762, 4.349320888519287, -7.8450469970703125, 7.381198406219482]"
"['3/10/14', '3/9/14']","[-7.461656093597412, -4.369815349578857, 4.977654457092285, -7.518764972686768, 6.106160640716553]"
"['3/11/14', '3/10/14']","[-7.621299743652344, -5.9273505210876465, 5.358521938323975, -6.910147666931152, 6.091400146484375]"
"['3/12/14', '3/11/14']","[-6.695538520812988, -6.315531253814697, 5.2966227531433105, -5.625079154968262, 5.482686519622803]"
"['3/13/14', '3/12/14']","[-7.118243217468262, -6.624751091003418, 5.32156229019165, -5.830068588256836, 5.874030113220215]"
"['3/15/14', '3/13/14']","[-5.685985088348389, -4.984951972961426, 5.360660076141357, -4.688953399658203, 3.4016973972320557]"
"['3/16/14', '3/15/14']","[-6.637470722198486, -6.634128093719482, 5.265239238739014, -5.124526023864746, 4.889522075653076]"
"['3/19/14', '3/16/14']","[-6.0716094970703125, -3.934378147125244, 4.4908952713012695, -5.101984977722168, 3.7301647663116455]"
"['3/20/14', '3/19/14']","[-7.345208644866943, -7.904417991638184, 6.421798229217529, -5.624551773071289, 5.421535491943359]"
"['3/21/14', '3/20/14']","[-6.589139938354492, -6.525669097900391, 5.293598651885986, -5.2436089515686035, 5.06411600112915]"
"['3/25/14', '3/21/14']","[-9.417329788208008, -7.531503200531006, 6.664430141448975, -8.556866645812988, 8.178264617919922]"
"['3/26/14', '3/25/14']","[-6.465034484863281, -5.795896053314209, 5.132294178009033, -4.91838264465332, 4.482113838195801]"
"['3/27/14', '3/26/14']","[-8.792795181274414, -7.566625118255615, 6.103125095367432, -7.078245162963867, 6.605014801025391]"
"['3/29/14', '3/27/14']","[-8.027544975280762, -8.165597915649414, 7.208763599395752, -6.08713960647583, 5.603846073150635]"
"['3/31/14', '3/29/14']","[-3.338470458984375, -1.036623239517212, 1.753753900527954, -3.5405373573303223, 2.477076292037964]"
"['4/2/14', '3/31/14']","[-4.814263820648193, -1.7768726348876953, 2.896465301513672, -5.242748737335205, 3.6582796573638916]"
"['4/3/14', '4/2/14']","[-4.9069437980651855, -3.1745529174804688, 3.3493845462799072, -4.772107124328613, 3.5549213886260986]"
"['4/4/14', '4/3/14']","[-5.468110084533691, -1.7811206579208374, 3.42618465423584, -5.690695762634277, 3.58650541305542]"
"['4/5/14', '4/4/14']","[-4.078481197357178, -1.9690735340118408, 2.5877671241760254, -4.0665154457092285, 2.901871681213379]"
"['4/6/14', '4/5/14']","[-5.0919928550720215, -2.9011428356170654, 3.0543344020843506, -5.008872985839844, 4.290490627288818]"
"['4/7/14', '4/6/14']","[-5.10761022567749, -2.8836817741394043, 2.906952142715454, -5.104310989379883, 4.516548156738281]"
"['4/8/14', '4/7/14']","[-5.232357501983643, -3.038475513458252, 3.6429996490478516, -4.9085612297058105, 3.7770001888275146]"
"['4/9/14', '4/8/14']","[-8.78329086303711, -5.275215148925781, 5.283311367034912, -8.866971969604492, 7.530261039733887]"
"['4/11/14', '4/9/14']","[-6.217872619628906, -3.8410801887512207, 4.13137674331665, -5.863245964050293, 4.2491374015808105]"
"['4/12/14', '4/11/14']","[-5.246052265167236, -3.8231942653656006, 3.2509734630584717, -4.288218021392822, 3.554328203201294]"
"['4/13/14', '4/12/14']","[-5.90683126449585, -3.8185336589813232, 4.0163655281066895, -5.373440742492676, 4.158792495727539]"
"['4/14/14', '4/13/14']","[-6.722010612487793, -6.451461315155029, 4.824820041656494, -5.140771865844727, 5.441540718078613]"
"['4/16/14', '4/14/14']","[-6.70904541015625, -3.7556700706481934, 3.6466238498687744, -6.068955898284912, 5.890504837036133]"
"['4/18/14', '4/16/14']","[-7.040945529937744, -5.86692476272583, 5.198421001434326, -6.248308181762695, 5.350167274475098]"
"['4/19/14', '4/18/14']","[-7.75363826751709, -5.489431381225586, 5.429802417755127, -6.907295227050781, 5.689583778381348]"
"['4/20/14', '4/19/14']","[-6.3850789070129395, -6.215585708618164, 4.9925217628479, -5.334995746612549, 4.331549644470215]"
"['4/21/14', '4/20/14']","[-8.9280424118042, -8.035604476928711, 6.584924221038818, -7.843407154083252, 7.006196022033691]"
"['4/22/14', '4/21/14']","[-9.022285461425781, -7.301008701324463, 5.552932262420654, -7.598873138427734, 7.0808868408203125]"
"['4/23/14', '4/22/14']","[-8.751808166503906, -8.489775657653809, 6.711498737335205, -7.281050205230713, 6.758297920227051]"
"['4/24/14', '4/23/14']","[-10.70740795135498, -8.79967975616455, 7.2288031578063965, -9.568764686584473, 8.375930786132812]"
"['4/25/14', '4/24/14']","[-8.8202486038208, -8.561908721923828, 6.374777793884277, -7.477434158325195, 6.984053134918213]"
"['4/26/14', '4/25/14']","[-7.7862868309021, -7.818093299865723, 6.25551700592041, -5.584239959716797, 4.906701564788818]"
"['4/27/14', '4/26/14']","[-8.578230857849121, -7.774135589599609, 6.700778961181641, -7.003571510314941, 6.536937713623047]"
"['5/1/14', '4/27/14']","[-8.979034423828125, -10.155516624450684, 7.384166240692139, -6.52464485168457, 6.647642135620117]"
"['5/2/14', '5/1/14']","[-10.314364433288574, -9.504322052001953, 7.722285270690918, -8.44887638092041, 7.603083610534668]"
"['5/3/14', '5/2/14']","[-10.592324256896973, -9.865046501159668, 7.651784896850586, -8.62534236907959, 8.355107307434082]"
"['5/4/14', '5/3/14']","[-8.504681587219238, -8.77264404296875, 6.91170072555542, -6.357114791870117, 6.3137993812561035]"
"['5/6/14', '5/4/14']","[-9.822325706481934, -9.633901596069336, 7.6151862144470215, -7.559719562530518, 7.287079334259033]"
"['5/7/14', '5/6/14']","[-10.830296516418457, -10.789149284362793, 7.879981517791748, -8.223987579345703, 8.468772888183594]"
"['5/8/14', '5/7/14']","[-10.854589462280273, -10.975665092468262, 7.907846927642822, -8.291059494018555, 8.331850051879883]"
"['5/9/14', '5/8/14']","[-10.019388198852539, -10.029674530029297, 7.5252485275268555, -7.193329334259033, 6.938075065612793]"
"['5/10/14', '5/9/14']","[-11.14177131652832, -11.965592384338379, 8.202995300292969, -8.486324310302734, 9.126261711120605]"
"['5/11/14', '5/10/14']","[-9.897177696228027, -11.205178260803223, 8.351679801940918, -7.344783782958984, 7.790304183959961]"
"['5/12/14', '5/11/14']","[-10.536417961120605, -12.480437278747559, 9.189963340759277, -7.3521504402160645, 7.675488471984863]"
"['5/13/14', '5/12/14']","[-8.746261596679688, -11.718191146850586, 7.961261749267578, -5.182372093200684, 6.366302490234375]"
"['5/14/14', '5/13/14']","[-9.857002258300781, -12.094773292541504, 8.627165794372559, -6.379586696624756, 6.893473148345947]"
"['5/15/14', '5/14/14']","[-10.850643157958984, -12.84528636932373, 8.894943237304688, -7.301426410675049, 8.246054649353027]"
"['5/16/14', '5/15/14']","[-11.02599811553955, -12.027935028076172, 9.068933486938477, -7.825954437255859, 7.592735290527344]"
"['5/17/14', '5/16/14']","[-11.00866985321045, -12.454623222351074, 8.288939476013184, -7.462234020233154, 8.930319786071777]"
"['5/18/14', '5/17/14']","[-10.160537719726562, -13.040876388549805, 8.325889587402344, -6.214001178741455, 7.537325859069824]"
"['5/20/14', '5/18/14']","[-13.205133438110352, -14.847350120544434, 10.466574668884277, -9.455700874328613, 10.313126564025879]"
"['5/21/14', '5/20/14']","[-13.744324684143066, -13.490812301635742, 9.84288215637207, -10.71603775024414, 10.974605560302734]"
"['5/22/14', '5/21/14']","[-13.339800834655762, -13.883939743041992, 10.29490852355957, -9.930193901062012, 10.012426376342773]"
"['5/23/14', '5/22/14']","[-12.960508346557617, -14.967007637023926, 10.244354248046875, -8.758299827575684, 10.909918785095215]"
"['5/24/14', '5/23/14']","[-12.820611953735352, -14.750186920166016, 10.122002601623535, -9.306705474853516, 10.491138458251953]"
"['5/25/14', '5/24/14']","[-11.776374816894531, -16.230682373046875, 10.975135803222656, -7.037656784057617, 7.998366355895996]"
"['5/26/14', '5/25/14']","[-14.082038879394531, -16.302757263183594, 11.469510078430176, -10.294295310974121, 11.060330390930176]"
"['5/27/14', '5/26/14']","[-14.764866828918457, -17.47020149230957, 12.307719230651855, -10.66332721710205, 11.793675422668457]"
"['5/28/14', '5/27/14']","[-14.363724708557129, -18.19005012512207, 12.423785209655762, -9.946290016174316, 11.147907257080078]"
"['5/29/14', '5/28/14']","[-13.230470657348633, -18.122108459472656, 12.034317970275879, -8.11068058013916, 9.830568313598633]"
"['5/30/14', '5/29/14']","[-13.79428482055664, -16.443723678588867, 11.624016761779785, -9.412398338317871, 9.687756538391113]"
"['5/31/14', '5/30/14']","[-12.7438383102417, -15.593829154968262, 10.21252727508545, -8.075430870056152, 9.328786849975586]"
"['6/1/14', '5/31/14']","[-14.067709922790527, -16.194896697998047, 10.947649002075195, -9.716546058654785, 10.613171577453613]"
