"id","original_date","ampm","home_team_name","away_team_name","game_type","away_win","away_loss","away_team_runs","away_team_hits","away_team_errors","away_team_hr","away_team_sb","away_team_so","home_win","home_loss","home_team_runs","home_team_hits","home_team_errors","home_team_hr","home_team_sb","home_team_so"
"2014/04/03/bosmlb-balmlb-1","2014/04/03","PM","Orioles","Red Sox","R",2,1,4,14,0,"0","0","8",1,2,3,9,0,"0","0","8"
"2015/03/28/balmlb-nyamlb-1","2015/03/28","PM","Yankees","Orioles","S",10,15,10,12,0,"2","0","8",14,12,2,3,0,"2","0","12"
"2016/06/17/tormlb-balmlb-1","2016/06/17","PM","Orioles","Blue Jays","R",39,31,13,13,1,"5","0","10",38,28,3,7,0,"1","0","8"
"2014/08/01/seamlb-balmlb-1","2014/08/01","PM","Orioles","Mariners","R",56,53,1,5,1,"0","1","7",61,47,2,8,1,"0","0","8"
"2015/09/09/balmlb-nyamlb-1","2015/09/09","PM","Yankees","Orioles","R",67,72,5,7,1,"1","0","9",77,61,3,4,1,"1","1","8"
"2016/03/23/balmlb-pitmlb-1","2016/03/23","PM","Pirates","Orioles","S",5,14,5,10,0,"1","0","2",7,13,6,9,0,"3","1","8"
"2015/06/16/phimlb-balmlb-1","2015/06/16","PM","Orioles","Phillies","R",22,44,3,6,2,"1","1","7",33,31,19,17,1,"8","0","5"
"2016/03/04/balmlb-tormlb-1","2016/03/04","PM","Blue Jays","Orioles","S",0,3,3,9,1,"1","0","8",3,0,4,7,0,"3","2","5"
"2015/05/21/seamlb-balmlb-1","2015/05/21","PM","Orioles","Mariners","R",18,22,4,10,1,"0","1","10",18,20,5,6,1,"1","1","12"
"2014/04/19/balmlb-bosmlb-1","2014/04/19","PM","Red Sox","Orioles","R",8,8,2,5,1,"0","2","8",8,10,4,6,1,"1","0","11"
"2014/08/22/balmlb-chnmlb-1","2014/08/22","PM","Cubs","Orioles","R",73,53,1,5,1,"1","0","10",56,72,4,9,0,"2","0","7"
"2014/07/20/balmlb-oakmlb-1","2014/07/20","PM","Athletics","Orioles","R",53,44,2,3,1,"0","0","10",61,37,10,15,3,"0","0","11"
"2016/03/20/tbamlb-balmlb-1","2016/03/20","PM","Orioles","Rays","S",8,9,8,11,0,"3","0","10",5,12,8,11,1,"2","3","11"
"2014/07/10/wasmlb-balmlb-1","2014/07/10","PM","Orioles","Nationals","R",49,41,3,10,1,"1","0","9",50,41,4,6,0,"1","0","9"
"2015/07/01/texmlb-balmlb-1","2015/07/01","PM","Orioles","Rangers","R",40,39,2,4,1,"2","0","7",42,36,4,9,0,"2","0","5"
"2014/06/28/tbamlb-balmlb-1","2014/06/28","PM","Orioles","Rays","R",34,49,5,10,0,"3","0","9",42,38,4,8,1,"2","0","10"
"2014/09/25/balmlb-nyamlb-1","2014/09/25","PM","Yankees","Orioles","R",95,64,5,5,3,"4","0","7",82,77,6,6,1,"0","0","11"
"2015/03/21/balmlb-minmlb-1","2015/03/21","PM","Twins","Orioles","S",8,12,5,8,0,"2","1","8",7,8,3,10,1,"0","0","7"
"2016/03/05/tbamlb-balmlb-1","2016/03/05","PM","Orioles","Rays","S",2,2,10,17,3,"0","0","5",0,4,6,6,0,"0","1","10"
"2014/08/10/slnmlb-balmlb-1","2014/08/10","PM","Orioles","Cardinals","R",62,54,8,17,0,"1","0","12",67,50,3,10,1,"0","0","10"
"2015/05/06/balmlb-nynmlb-1","2015/05/06","PM","Mets","Orioles","R",12,13,1,9,0,"0","2","7",18,10,5,7,0,"2","0","12"
"2016/08/04/texmlb-balmlb-1","2016/08/04","PM","Orioles","Rangers","R",63,46,5,11,0,"1","0","7",61,46,3,9,0,"3","0","10"
"2014/04/02/bosmlb-balmlb-1","2014/04/02","PM","Orioles","Red Sox","R",1,1,6,10,1,"2","0","9",1,1,2,6,1,"1","0","7"
"2015/04/24/bosmlb-balmlb-1","2015/04/24","PM","Orioles","Red Sox","R",10,7,7,11,1,"0","0","0",7,10,5,10,2,"0","0","0"
"2014/04/27/kcamlb-balmlb-1","2014/04/27","PM","Orioles","Royals","R",12,12,9,13,1,"1","1","10",12,12,3,5,1,"1","0","4"
"2016/04/23/balmlb-kcamlb-1","2016/04/23","PM","Royals","Orioles","R",11,5,8,14,1,"1","0","6",11,6,3,7,0,"1","0","8"
"2016/07/28/balmlb-minmlb-1","2016/07/28","PM","Twins","Orioles","R",58,43,2,11,0,"1","0","10",38,63,6,12,0,"1","1","7"
"2015/08/01/detmlb-balmlb-1","2015/08/01","PM","Orioles","Tigers","R",50,54,2,6,0,"1","1","7",53,50,6,10,0,"2","1","8"
"2015/08/16/oakmlb-balmlb-1","2015/08/16","PM","Orioles","Athletics","R",51,68,2,9,0,"1","0","8",60,56,18,26,0,"4","0","10"
"2014/07/24/balmlb-seamlb-1","2014/07/24","PM","Mariners","Orioles","R",56,45,4,8,0,"1","1","4",53,49,0,5,0,"0","1","9"
"2014/09/12/nyamlb-balmlb-2","2014/09/12","PM","Orioles","Yankees","R",75,71,0,4,0,"0","1","6",88,59,5,8,1,"0","0","12"
"2015/04/07/balmlb-tbamlb-1","2015/04/07","PM","Rays","Orioles","R",2,0,6,6,0,"1","0","11",0,2,5,5,0,"2","2","5"
"2015/04/14/nyamlb-balmlb-1","2015/04/14","PM","Orioles","Yankees","R",3,5,3,6,2,"0","0","9",4,4,4,7,1,"1","0","10"
"2014/05/22/clemlb-balmlb-1","2014/05/22","PM","Orioles","Indians","R",23,25,8,14,2,"0","0","0",23,22,7,13,0,"0","0","0"
"2014/08/23/balmlb-chnmlb-1","2014/08/23","PM","Cubs","Orioles","R",73,54,2,7,1,"0","0","10",57,72,7,11,0,"1","1","8"
"2016/03/27/balmlb-pitmlb-1","2016/03/27","PM","Pirates","Orioles","S",9,14,5,13,2,"2","0","6",7,18,3,7,0,"0","0","9"
"2014/04/04/balmlb-detmlb-1","2014/04/04","PM","Tigers","Orioles","R",1,3,4,7,0,"0","1","3",3,0,10,17,1,"3","1","8"
"2014/09/15/tormlb-balmlb-1","2014/09/15","PM","Orioles","Blue Jays","R",77,72,2,11,0,"0","1","5",90,60,5,10,0,"1","0","9"
"2016/08/26/balmlb-nyamlb-1","2016/08/26","PM","Yankees","Orioles","R",70,58,4,7,3,"2","0","4",66,61,14,18,1,"3","0","7"
"2016/05/07/oakmlb-balmlb-2","2016/05/07","PM","Orioles","Athletics","R",14,17,2,9,1,"0","0","6",17,12,5,8,0,"1","0","7"
"2014/10/14/balmlb-kcamlb-1","2014/10/14","PM","Royals","Orioles","L",0,3,1,3,0,"0","0","5",3,0,2,7,0,"0","0","5"
"2014/04/25/kcamlb-balmlb-1","2014/04/25","PM","Orioles","Royals","R",11,11,5,11,0,"0","1","10",11,11,0,7,1,"0","0","5"
"2016/04/24/balmlb-kcamlb-1","2016/04/24","PM","Royals","Orioles","R",11,6,1,4,1,"0","0","4",12,6,6,11,0,"2","0","6"
"2014/09/27/balmlb-tormlb-1","2014/09/27","PM","Blue Jays","Orioles","R",95,66,2,4,3,"1","0","3",83,78,4,6,0,"0","1","5"
"2016/04/08/tbamlb-balmlb-1","2016/04/08","PM","Orioles","Rays","R",2,3,1,5,0,"1","0","6",4,0,6,10,0,"4","0","7"
"2014/05/25/clemlb-balmlb-1","2014/05/25","PM","Orioles","Indians","R",24,27,2,5,1,"0","0","11",25,23,4,9,0,"2","2","8"
"2016/08/29/tormlb-balmlb-1","2016/08/29","PM","Orioles","Blue Jays","R",75,56,5,7,0,"2","0","7",71,60,1,4,0,"1","0","11"
"2016/09/19/bosmlb-balmlb-1","2016/09/19","PM","Orioles","Red Sox","R",86,64,5,9,0,"2","1","7",82,68,2,4,1,"1","0","4"
"2015/08/31/tbamlb-balmlb-1","2015/08/31","PM","Orioles","Rays","R",65,66,6,10,2,"3","0","10",63,68,3,8,0,"0","0","7"
"2015/03/11/tormlb-balmlb-1","2015/03/11","PM","Orioles","Blue Jays","S",4,6,5,8,0,"0","0","5",3,7,2,7,0,"0","0","4"
"2016/04/17/balmlb-texmlb-1","2016/04/17","PM","Rangers","Orioles","R",8,3,NA,NA,NA,NA,NA,NA,7,6,NA,NA,NA,NA,NA,NA
"2016/05/25/balmlb-houmlb-1","2016/05/25","PM","Astros","Orioles","R",26,18,3,11,4,"0","1","7",19,28,4,8,1,"2","0","18"
"2016/08/16/bosmlb-balmlb-1","2016/08/16","PM","Orioles","Red Sox","R",66,52,5,7,0,"2","0","13",66,52,3,4,0,"0","0","6"
"2016/07/26/colmlb-balmlb-1","2016/07/26","PM","Orioles","Rockies","R",48,52,6,9,0,"0","0","6",58,41,3,5,0,"1","0","7"
"2014/03/13/balmlb-nyamlb-1","2014/03/13","PM","Yankees","Orioles","S",9,5,0,6,2,"0","0","6",8,5,6,10,1,"0","0","13"
"2016/04/11/balmlb-bosmlb-1","2016/04/11","PM","Red Sox","Orioles","R",6,0,9,9,2,"2","0","8",3,3,7,11,0,"1","2","15"
"2016/07/25/colmlb-balmlb-1","2016/07/25","PM","Orioles","Rockies","R",47,52,2,6,3,"1","0","4",58,40,3,6,0,"0","0","11"
"2014/07/29/anamlb-balmlb-1","2014/07/29","PM","Orioles","Angels","R",63,42,6,11,1,"1","0","9",59,46,7,10,2,"3","0","11"
"2015/05/02/tbamlb-balmlb-1","2015/05/02","PM","Orioles","Rays","R",13,11,0,4,0,"0","0","6",11,11,4,7,0,"1","0","7"
"2016/03/18/balmlb-nyamlb-1","2016/03/18","PM","Yankees","Orioles","S",5,12,11,14,0,"1","0","3",6,9,2,5,1,"0","0","7"
"2014/04/05/balmlb-detmlb-1","2014/04/05","PM","Tigers","Orioles","R",1,4,6,10,0,"0","1","5",4,0,7,13,1,"1","2","5"
