previous_date,original_date,wins,away_team_hits,away_team_errors,away_team_hr,away_team_sb,away_team_so,home_win,home_loss,home_team_hits,home_team_errors,home_team_hr,home_team_sb,home_team_so,away_team_runs,home_team_runs,isHome,score_diff,away_win,away_loss,opponentAngels,opponentAstros,opponentAthletics,opponentBlue.Jays,opponentBraves,opponentBrewers,opponentCardinals,opponentCubs,opponentD.backs,opponentDodgers,opponentGiants,opponentIndians,opponentMariners,opponentMarlins,opponentMets,opponentNationals,opponentPadres,opponentPhillies,opponentPirates,opponentRangers,opponentRays,opponentRed.Sox,opponentReds,opponentRockies,opponentRoyals,opponentTides,opponentTigers,opponentTwins,opponentWhite.Sox,opponentYankees,PrevopponentAngels,PrevopponentAstros,PrevopponentAthletics,PrevopponentBlue.Jays,PrevopponentBraves,PrevopponentBrewers,PrevopponentCardinals,PrevopponentCubs,PrevopponentD.backs,PrevopponentDodgers,PrevopponentGiants,PrevopponentIndians,PrevopponentMariners,PrevopponentMarlins,PrevopponentMets,PrevopponentNationals,PrevopponentPadres,PrevopponentPhillies,PrevopponentPirates,PrevopponentRangers,PrevopponentRays,PrevopponentRed.Sox,PrevopponentReds,PrevopponentRockies,PrevopponentRoyals,PrevopponentTides,PrevopponentTigers,PrevopponentTwins,PrevopponentWhite.Sox,PrevopponentYankees
2/28/14,3/1/14,1,9,0,0,1,8,0,1,7,0,0,0,8,4,2,-1,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
3/1/14,3/2/14,0,12,2,1,2,10,2,0,12,1,0,2,4,7,9,1,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/2/14,3/3/14,0,9,0,0,0,7,1,2,12,1,1,0,8,6,8,-1,-2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
3/3/14,3/4/14,1,13,1,1,0,4,2,2,9,1,1,0,7,9,2,1,-7,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3/4/14,3/5/14,1,8,0,0,0,9,4,3,7,0,1,0,7,3,2,-1,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3/5/14,3/7/14,1,12,1,1,2,9,4,3,9,1,0,0,10,11,5,-1,6,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3/7/14,3/8/14,1,6,2,2,0,2,5,2,16,1,2,1,8,4,15,1,11,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3/8/14,3/8/14,1,6,2,2,0,3,6,2,13,1,1,0,12,3,7,1,4,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
3/8/14,3/9/14,1,13,0,0,4,11,2,6,3,6,1,0,7,13,2,-1,11,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
3/9/14,3/10/14,1,5,0,2,0,6,8,2,16,1,2,0,11,2,9,1,7,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
