03/31/2013,"[('OOTP13 - Baltimore Orioles - Page 3 - Front Office ...', 'http://www.operationsports.com/fofc/showthread.php?p=2805180'), ('3 Friends Killed In Odenton Crash, Another In Critical ...', 'http://baltimore.cbslocal.com/2013/03/31/3-dead-1-seriously-injured-in-single-car-crash/'), ('Towson Commons Gets Primary Tenant; Will Hopefully ...', 'http://baltimore.cbslocal.com/2013/03/31/towson-commons-gets-primary-tenant-will-hopefully-revitalize-area/'), ('The place to be - Oriole Park at Camden Yards, Baltimore ...', 'https://www.tripadvisor.co.uk/ShowUserReviews-g60811-d104307-r156187780-Oriole_Park_at_Camden_Yards-Baltimore_Maryland.html'), ('""Which baseball stadiums have the highest food prices ...', 'http://money.cnn.com/2013/03/31/pf/baseball-prices/index.html'), (""Health reform's changes stir worries as they take shape in ..."", 'http://www.baltimoresun.com/health/health-care/bs-hs-health-reform-launch-20130331-story.html'), (""STAN MUSIAL St. Louis Cardinals 1940's Majestic ..."", 'http://www.customthrowbackjerseys.com/stan-musial-st-louis-cardinals-1940s-majestic-cooperstown-throwback-baseball-jersey/'), ('National predictions for the Baltimore Orioles in 2013 ...', 'http://www.baltimoresun.com/sports/orioles/blog/bal-national-predictions-for-2013-baltimore-orioles-20130331-story.html'), ('The Voices of the Cleveland Browns Rock', 'http://www.rantsports.com/nfl/2013/03/31/the-voices-of-the-cleveland-browns-rock/'), ('Category:Sports clubs established in 1991 - Wikipedia', 'https://en.wikipedia.org/wiki/Category:Sports_clubs_established_in_1991')]"
04/01/2013,"[('Orioles opening day - Baltimore Sun', 'http://www.baltimoresun.com/news/opinion/oped/bs-ed-orioles-opening-day-20130401-story.html'), ('Orioles merchandise sales soar; team wins over young fans ...', 'http://www.bizjournals.com/baltimore/news/2013/04/01/orioles-merchandise-sales-soar-team.html'), ('Baltimore Orioles 1989: Opening Day vs Boston Red \\u2026', 'http://www.youtube.com/watch?v=hGgygwP43bk'), (""'Buckwild' star Shain Gandee found dead - CNN.com"", 'http://www.cnn.com/2013/04/01/showbiz/buckwild-star-death/index.html'), ('Oriole Park at Camden Yards food favorites [Pictures ...', 'http://www.baltimoresun.com/entertainment/dining/baltimore-diner-blog/bal-top-10-oriole-park-food-finds-20130401-photogallery.html'), ('REPORT: Barry Bonds to sign with Orioles - Camden Chat', 'http://www.camdenchat.com/2013/4/1/4169804/report-barry-bonds-to-sign-with-orioles'), ('Probable Pitchers | MLB.com', u'http://mlb.mlb.com/news/probable_pitchers/index.jsp?c_id=mlb&date=2013/04/01'), ('The Rays Way', 'https://www.si.com/vault/2013/04/01/106303863/the-rays-way'), ('1966 World Series Game 4: Dodgers @ Orioles - \\u2026', 'http://www.youtube.com/watch?v=yJ8sDzmuY0o'), (""Baseball's Opening Day and the Presidents Who Threw Out ..."", 'https://www.usnews.com/news/blogs/press-past/2013/04/01/baseballs-opening-day-and-the-presidents-who-threw-out-the-pitches')]"
04/02/2013,"[('Yu Darvish Just Misses Perfect Game as Rangers Rout Astros ...', 'http://www.nytimes.com/2013/04/03/sports/baseball/baseball-roundup.html'), (""Orioles' Manny Machado to make history with Opening Day ..."", 'http://www.baltimoresun.com/sports/orioles/blog/bal-orioles-manny-machado-to-make-history-with-opening-day-start-20130402-story.html'), ('Baltimore Orioles 25-man roster: The hitters - Camden Chat', 'http://www.camdenchat.com/2013/4/2/4173166/baltimore-orioles-25-man-roster-the-hitters'), ('MLB 13 Baltimore Orioles at Boston Red Sox Game ...  \\u2026', 'http://www.youtube.com/watch?v=9Zo5v5ygG4w'), ('Big 7th inning powers Baltimore Orioles past Rays', 'https://www.usatoday.com/story/sports/mlb/orioles/2013/04/02/baltimore-orioles-tampa-bay-rays-adam-jones-chris-davis-david-price/2047955/'), ('BO JACKSON VS ORIOLES - HOME RUN - APRIL 12, 1988', 'http://www.youtube.com/watch?v=BpbjYIkHZcM'), ('Orioles vs. Rays Wrapup | 04/02/13 | MLB.com', 'http://m.mlb.com/gameday/orioles-vs-rays/2013/04/02/346754/final'), ('Wieters, Davis, Jones power Orioles past Rays 7-4 | Sports ...', 'https://www.usnews.com/news/sports/articles/2013/04/02/wieters-davis-jones-power-orioles-past-rays-7-4'), ('Food &amp; Beverage | Charleston RiverDogs The Joe', u'http://www.milb.com/content/page.jsp?sid=t233&ymd=20130402&content_id=43702682&vkey=team3'), ('Baltimore Orioles 25-man roster: The pitchers - Camden Chat', 'http://www.camdenchat.com/2013/4/2/4162358/baltimore-orioles-25-man-roster-pitchers')]"
04/03/2013,"[('Machado mans right field in pull shift against Rays ...', 'http://www.baltimoresun.com/sports/orioles/bs-sp-orioles-notes-0404-20130403-story.html'), ('Rolling Stones Announce Tour Dates \\xab CBS Baltimore', 'http://baltimore.cbslocal.com/2013/04/03/rolling-stones-announce-tour-dates/'), ('Dogs Kill 9 Goats, 12 Rabbits Near Frederick \\xab CBS Baltimore', 'http://baltimore.cbslocal.com/2013/04/03/dogs-kill-9-goats-12-rabbits-near-frederick-md/'), ('Orioles working on tech upgrades for Camden Yards ...', 'http://www.bizjournals.com/baltimore/news/2013/04/03/orioles-eye-digital-upgrades-at-camden.html?page=all'), ('Baltimore Orioles catcher Gus Triandos - Baltimore Sun', 'http://www.baltimoresun.com/news/opinion/oped/bs-ed-gus-triandos-20130403-story.html'), ('2017 Media Guide | MiLB.com Roster | The Official Site of ...', u'http://www.milb.com/content/page.jsp?ymd=20130403&content_id=43771906&vkey=roster'), ('Orioles vs. Rays Wrapup | 04/03/13 | MLB.com', 'http://m.mlb.com/gameday/orioles-vs-rays/2013/04/03/346763/final'), ('MLB Recap - Baltimore Orioles at Tampa Bay Rays - Apr 03 ...', 'http://www.cbssports.com/mlb/gametracker/recap/MLB_20130403_BAL@TB'), (""Examining the Orioles' Ideal Platoon Lineups - Camden Chat"", 'http://www.camdenchat.com/2013/4/3/4175882/baltimore-orioles-platoon-lineups'), ('Box Office Hours &amp; Information | Dunedin Blue Jays Tickets', u'http://www.milb.com/content/page.jsp?ymd=20130403&content_id=43797990&sid=t424&vkey=tickets')]"
04/04/2013,"[(""Orioles' Davis homers for the third straight game"", 'https://www.usatoday.com/story/sports/mlb/2013/04/04/chris-davis-drives-in-four-runs-to-power-orioles-past-rays/2054807/'), ('Schedule | MiLB.com Schedule | The Official Site of Minor ...', u'http://www.milb.com/milb/schedule/index.jsp?ymd=20130404&leagues=l120,l121,l110,l122,l113,l123,l124,l117,l118,l127,l126,l112,l128,l116,l111,l109'), ('Orioles announce Opening Day plans | Baltimore Orioles', u'http://baltimore.orioles.mlb.com/news/print.jsp?ymd=20130404&content_id=43895858&c_id=bal'), ('Orioles 6, Rays 3: Mjolnir, the Hammer of Thor - Camden Chat', 'http://www.camdenchat.com/2013/4/4/4184714/orioles-rays-april-4-game-score-chris-davis-home-run-brian-roberts-injury'), ('Orioles Beat Rays Behind Another Homer From Davis - The ...', 'http://www.nytimes.com/2013/04/05/sports/baseball/orioles-beat-rays-behind-another-home-run-from-chris-davis.html'), ('Background checks: Who isn\\u2019t allowed to buy a gun?', 'https://www.yahoo.com/news/blogs/ticket/gun-background-checks-isn-t-allowed-purchase-gun-191132087--politics.html'), ('KidsPeace Foster Children Will Participate In Orioles ...', 'http://baltimore.cbslocal.com/2013/04/04/kids-peace-foster-children-will-participate-in-orioles-opening-day/'), (""Chris Davis' tear continues in Orioles' 6-3 win over the ..."", 'http://www.baltimoresun.com/sports/orioles/bal-chris-davis-leads-orioles-to-win-over-tampa-bay-rays-20130404-story.html'), ('MiLB.TV | MiLB.com Multimedia | The Official Site of Minor ...', 'http://www.milb.com/milb/multimedia/milbtv.jsp?ymd=20130404'), (""The real (and surprising) story behind the 'N Sync ..."", 'http://wapc.mlb.com/cutfour/2013/04/04/43885192/the-real-and-surprising-story-behind-the-n-sync-phillies-jersey-photo-thats-going-viral-update')]"
04/05/2013,"[('OREO Cookie Balls - Kraft Recipes', 'http://www.kraftrecipes.com/recipes/oreo-cookie-balls-126799.aspx'), (""Orioles' Chris Davis hits slam to extend HR streak to 4"", 'http://www.usatoday.com/story/sports/mlb/orioles/2013/04/05/chris-davis-grand-slam-baltimore-orioles-minnesota-twins-home-run-streak/2058003/'), ('Orioles PA Announcer ready for opening day at Camden Yards', 'http://www.abc2news.com/sports/baseball/orioles/orioles-pa-announcer-ready-for-opening-day-at-camden-yards'), ('Category:Orioles - Wikipedia', 'https://en.wikipedia.org/wiki/Category:Orioles'), ('Twins vs. Orioles Wrapup | 04/05/13 | MLB.com', 'http://m.mlb.com/gameday/twins-vs-orioles/2013/04/05/346793/final'), ('Baltimore Orioles\\u2019 Chris Davis continues homer rampage ...', 'https://www.thestar.com/sports/baseball/2013/04/05/baltimore_orioles_chris_davis_continues_homer_rampage.html'), ('MLB Recap - Minnesota Twins at Baltimore Orioles - Apr 05 ...', 'http://www.cbssports.com/mlb/gametracker/recap/MLB_20130405_MIN@BAL/davis-continues-torrid-start-with-grand-slam-to-carry-os'), ('Citing schedule conflicts, Ravens decline invitation to ...', 'http://www.baltimoresun.com/sports/orioles/bs-sp-orioles-ravens-0406-20130405-story.html'), ('Team Shop | Hillsboro Hops Team Shop', u'http://www.milb.com/content/page.jsp?ymd=20130405&content_id=43941560&sid=t419&vkey=team5'), (""Davis stays hot as O's down Rays | Fox News"", 'http://www.foxnews.com/sports/2013/04/04/davis-stays-hot-as-o-down-rays.html')]"
04/06/2013,"[('Yankees Lose, Orioles\\u2019 Davis Joins Willie Mays in Home Run ...', 'https://www.bloomberg.com/news/articles/2013-04-06/yankees-lose-orioles-davis-joins-willie-mays-in-home-run-feat'), ('Category:Baltimore Orioles - Simple English Wikipedia, the ...', 'https://simple.wikipedia.org/wiki/Category:Baltimore_Orioles'), (""Ryan Flaherty has been the Orioles' starter at second base ..."", 'http://www.baltimoresun.com/sports/orioles/blog/bal-orioles-insider-ryan-flaherty-brian-roberts-20130406-story.html'), ('Baltimore Orioles Affiliates Scoreboard | MiLB.com ...', u'http://www.milb.com/scoreboard/index.jsp?sid=milb&org=110&ymd=20130406'), ('Orioles minor league RHP Daniel McCutchen suspended 50 ...', 'http://www.mlbdailydish.com/2013/4/6/4190820/daniel-mccutchen-suspended-orioles-50-games-mlb-ped'), ('BaseballAmerica.com: Stats', u'http://www.baseballamerica.com/statistics/leagues/box/?lg_id=10&tm1=3178&tm2=3061&sbd=20130406&gc=1'), ('Ticket Packages | Great Lakes Loons Tickets', u'http://www.milb.com/content/page.jsp?ymd=20130406&content_id=44046432&sid=t456&vkey=tickets'), ('Bill Would Give Prince George\\u2019s Co. Exec. More School ...', 'http://baltimore.cbslocal.com/2013/04/06/md-general-assembly-oks-school-overhaul-plan/'), ('MLB 2K13 Franchise (Y1,G3): New York Yankees vs \\u2026', 'http://www.youtube.com/watch?v=c_MjDbkab-8'), ('Category:Baltimore Orioles players - Simple English ...', 'https://simple.wikipedia.org/wiki/Category:Baltimore_Orioles_players')]"
04/07/2013,"[(""Orioles' Miguel Gonzalez won't start in Boston - Baltimore Sun"", 'http://www.baltimoresun.com/sports/orioles/bs-sp-orioles-notebook-0408-20130407-story.html'), ('Jay-Z \\u201842\\u2019 rap contradicts all that Jackie stood for | New ...', 'http://nypost.com/2013/04/07/jay-z-42-rap-contradicts-all-that-jackie-stood-for/'), ('2013 MLB Schedule 04/07/2013 | FOX Sports', u'http://www.foxsports.com/mlb/schedule?season=2013&date=2013-04-07&seasonType=1'), ('MLB Black Ops 2 emblem - Baltimore Orioles Cartoon \\u2026', 'http://www.youtube.com/watch?v=TG1cmPzjwcw'), ('Recap: MIN 5, BAL 9 - YouTube', 'http://www.youtube.com/watch?v=8E9XkzfwBD8'), ('Chicago White Sox Affiliates Scoreboard | MiLB.com ...', u'http://www.milb.com/scoreboard/index.jsp?sid=milb&org=145&ymd=20130407'), ('Orioles 5, Twins 6: A poor outing by Chris Tillman helps ...', 'http://www.camdenchat.com/2013/4/7/4192448/orioles-vs-twins-recap-score'), ('Adam Jones: Orioles want to \\u2018shut up\\u2019 the fans Fenway Park', 'https://www.boston.com/sports/extra-bases/2013/04/07/adam_jones_orio'), ('Hicks, Twins Rally To 4-3 Victory Over Orioles', 'http://baltimore.cbslocal.com/2013/04/07/hicks-twins-rally-to-4-3-victory-over-orioles/'), ('Veterans Appreciation Day | Tacoma Rainiers Content', u'http://www.milb.com/content/page.jsp?ymd=20130407&content_id=44174094&fext=.jsp&sid=t529&vkey=')]"
04/08/2013,"[('Orioles\\u2019 Opening Day In Baltimore 2013 \\xab CBS Baltimore', 'http://baltimore.cbslocal.com/photo-galleries/2013/04/08/orioles-opening-day-in-baltimore/'), ('Orioles vs. Red Sox Wrapup | 04/08/13 | MLB.com', 'http://m.mlb.com/gameday/orioles-vs-red-sox/2013/04/08/346834/final'), ('[Rangers vs Rays] Unbelivable game ending strike three \\u2026', 'http://www.youtube.com/watch?v=uTuFDlyJfso'), ('MLB Recap - Baltimore Orioles at Boston Red Sox - Apr 08 ...', 'http://www.cbssports.com/mlb/gametracker/recap/MLB_20130408_BAL@BOS'), ('Wedding Bells Ring Out For WJZ\\u2019s Own Gigi Barnett \\xab CBS ...', 'http://baltimore.cbslocal.com/photo-galleries/2013/04/08/wedding-bells-ring-out-for-wjzs-own-gigi-barnett/'), ('Iconic fashion designer Lilly Pulitzer Rousseau dead - CNN.com', 'http://www.cnn.com/2013/04/07/us/lilly-pulitzer-dead/index.html'), ('Pitching matchups for the Orioles series', 'https://www.boston.com/sports/extra-bases/2013/04/08/pitching_matchu_153'), ('Red Sox win home opener, 3-1', 'https://www.boston.com/sports/boston-red-sox/2013/04/08/red-sox-win-home-opener-3-1'), (""Gilman School's Reiter named Teacher on the Trail for 2014 ..."", 'http://www.baltimoresun.com/news/maryland/baltimore-city/north-baltimore/ph-ms-iditarod-teacher-0411-20130408-story.html'), ('Walk of Fame, Bricks | Rochester Red Wings Frontier Field', u'http://www.milb.com/content/page.jsp?ymd=20130408&content_id=44236654&sid=t534&vkey=team1')]"
04/09/2013,"[('You\\u2019re not going to believe the call that ended the Rays ...', 'http://mlb.nbcsports.com/2013/04/09/youre-not-going-to-believe-the-call-that-ended-the-rays-rangers-game/'), ('Indians place Lou Marson on DL, call up Yan Gomes ...', 'http://mlb.nbcsports.com/2013/04/09/indians-place-lou-marson-on-dl-call-up-yan-gomes/'), ('Fenway Park Sellout Streak Seems to Be Nearing an End ...', 'http://www.nytimes.com/2013/04/10/sports/baseball/end-seems-near-for-sellout-streak-at-fenway-park.html'), ('Astros Minor League System | Greeneville Astros Contact Us', u'http://www.milb.com/content/page.jsp?ymd=20130409&content_id=44320696&sid=t413&vkey=team4'), ('Best Sports Pix of the Week | Fox News', 'http://www.foxnews.com/sports/slideshow/2013/04/09/best-sports-pix-week.html'), ('Orioles Magic karaoke - YouTube', 'http://www.youtube.com/watch?v=NUfOPHp2NSA'), ('Red Sox Beat Orioles and Continue Strong Start - The New ...', 'http://www.nytimes.com/2013/04/09/sports/baseball/red-sox-beat-orioles-and-continue-strong-start.html'), ('According to a report, it took the Orioles an extra $2 ...', 'http://articles.baltimoresun.com/2013-04-09/sports/bal-sports-blitz-orioles-rangers-chris-davis-trade-20130409_1_tommy-hunter-andy-macphail-koji-uehara'), (""'Mickey Mouse Club' original Annette Funicello dies - CNN.com"", 'http://www.cnn.com/2013/04/08/showbiz/annette-funicello-obit/index.html'), ('Ranking the Most Feared Hitters in MLB | Bleacher Report', 'http://www.bleacherreport.com/articles/1596696-ranking-the-most-feared-hitters-in-mlb')]"
