"['3/1/14', '3/2/14']","[0.610112726688385, -0.21661746501922607, -1.2232482433319092, -0.4340910017490387, 0.1779743731021881, 0.5965559482574463, 0.6704988479614258, -0.3415590226650238, 1.1342438459396362, 0.1497332751750946, -0.5574555397033691, 0.23081590235233307, -0.08457566052675247, 0.8867496252059937, -0.44986867904663086, 0.44492217898368835, -0.22792479395866394, -0.6304373741149902, 0.03627217188477516, 0.5026169419288635]"
"['3/2/14', '3/3/14']","[0.8624356985092163, -0.48019614815711975, -1.1345911026000977, -0.4710526466369629, 0.2347331941127777, 0.5131675601005554, 0.8080452680587769, -0.3200157880783081, 1.4127858877182007, 0.08943919837474823, -0.4978709816932678, 0.41859740018844604, -0.16632702946662903, 0.947784960269928, -0.3511841595172882, 0.43186649680137634, 0.049444932490587234, -0.6553176045417786, 0.2616926431655884, 0.5750060081481934]"
"['3/3/14', '3/4/14']","[0.4787139594554901, -0.0010443152859807014, -0.4165252447128296, -0.12663713097572327, -0.012709561735391617, 0.19371086359024048, 0.5758818984031677, -0.3897568881511688, 0.7720023989677429, 0.08823802322149277, -0.3639445900917053, -0.03197304531931877, 0.028852153569459915, 0.41925671696662903, -0.3942756652832031, 0.36936256289482117, 0.06676086783409119, -0.3051483631134033, -0.03480355441570282, 0.5814832448959351]"
"['3/4/14', '3/5/14']","[0.6667608618736267, -0.2621392607688904, -1.1335521936416626, -0.3536725342273712, -0.050728343427181244, 0.5550951361656189, 0.9430155158042908, -0.40975406765937805, 1.186891794204712, -0.04584116488695145, -0.5802570581436157, 0.21419617533683777, -0.17709362506866455, 0.6147347092628479, -0.2864990234375, 0.7455308437347412, 0.2850727438926697, -0.5571558475494385, -0.02590257115662098, 0.48480021953582764]"
"['3/5/14', '3/7/14']","[0.6994815468788147, -0.20637278258800507, -0.9813799858093262, -0.22411862015724182, -0.104108527302742, 0.5744240283966064, 0.6900829672813416, -0.374233603477478, 1.1948484182357788, -0.10417196154594421, -0.4444270730018616, 0.287698894739151, -0.11201488971710205, 0.7464290857315063, -0.41855043172836304, 0.5361065864562988, 0.15743382275104523, -0.6013190150260925, 0.06730163097381592, 0.36170494556427]"
"['3/7/14', '3/8/14']","[0.6103543043136597, -0.562240481376648, -1.27133047580719, -0.43069568276405334, 0.19027873873710632, 0.5995843410491943, 0.8052448630332947, -0.13248923420906067, 1.105471134185791, -0.017425324767827988, -0.4560369551181793, 0.28620582818984985, -0.2814815640449524, 0.7538558840751648, -0.3191632628440857, 0.5786504149436951, 0.08796989917755127, -0.5603936314582825, 0.11558616906404495, 0.46538451313972473]"
"['3/8/14', '3/9/14']","[0.7370668649673462, -0.2155781388282776, -0.990644633769989, -0.1993139386177063, -0.06378502398729324, 0.5199541449546814, 0.7673965096473694, -0.378675639629364, 1.17867910861969, -0.06276533007621765, -0.5488669276237488, 0.29138779640197754, -0.19315975904464722, 0.6815304160118103, -0.25405949354171753, 0.584270179271698, 0.041570257395505905, -0.5957014560699463, 0.09239030629396439, 0.2932918667793274]"
"['3/9/14', '3/10/14']","[0.9864533543586731, -0.1332411766052246, -1.4891746044158936, -0.322386234998703, 0.056598033756017685, 0.8827337622642517, 0.9845046401023865, -0.6327864527702332, 1.644088864326477, 0.2571069300174713, -0.5311776995658875, 0.3231436312198639, -0.09149882942438126, 1.3231337070465088, -0.3654901683330536, 0.7714022397994995, 0.12088558077812195, -0.8177210688591003, 0.30877751111984253, 0.4008265435695648]"
"['3/10/14', '3/11/14']","[0.37101253867149353, -0.2730385959148407, -0.8794925808906555, -0.17353522777557373, -0.06084759160876274, 0.4580652713775635, 0.6370180249214172, -0.14713001251220703, 0.8836016058921814, -0.04844241589307785, -0.7032408118247986, 0.29384538531303406, -0.11728483438491821, 0.5542274713516235, -0.22471949458122253, 0.6131038665771484, -0.03050721436738968, -0.5479548573493958, -0.1669396460056305, 0.31068697571754456]"
"['3/11/14', '3/12/14']","[0.6820494532585144, -0.3326772451400757, -0.9085484147071838, -0.1973830908536911, -0.0053665232844650745, 0.4830894470214844, 0.6054545640945435, -0.17007005214691162, 0.9582172632217407, -0.15820759534835815, -0.5552935600280762, 0.25474879145622253, -0.15121033787727356, 0.5692598223686218, -0.1738857626914978, 0.5045235753059387, 0.007172927260398865, -0.6088209748268127, -0.11263705044984818, 0.3370286524295807]"
"['3/12/14', '3/13/14']","[0.7003546953201294, -0.25131404399871826, -1.367263674736023, -0.3145129680633545, 0.0748194083571434, 0.5502181053161621, 1.0800199508666992, -0.12323327362537384, 1.3305408954620361, -0.0831841379404068, -0.8026811480522156, 0.2451760470867157, -0.20932789146900177, 0.7536559700965881, -0.10882221907377243, 0.9904825687408447, -0.14767169952392578, -0.7881560325622559, 0.06085676699876785, 0.5934167504310608]"
"['3/13/14', '3/15/14']","[0.6619047522544861, -0.33652833104133606, -1.1208370923995972, -0.28668344020843506, 0.055856674909591675, 0.6140158772468567, 0.7039702534675598, -0.2163935750722885, 1.1762375831604004, -0.017315275967121124, -0.4474720060825348, 0.40447577834129333, -0.06774196028709412, 0.7616556286811829, -0.2781069576740265, 0.6196050643920898, 0.17903509736061096, -0.569502592086792, 0.13438913226127625, 0.2910892367362976]"
"['3/15/14', '3/16/14']","[0.7641886472702026, -0.20134596526622772, -1.1127614974975586, -0.3917028605937958, 0.12943819165229797, 0.6729061007499695, 0.5528357028961182, -0.4372801184654236, 1.1396496295928955, 0.19947503507137299, -0.41020485758781433, 0.37128809094429016, -0.03250928223133087, 0.9157453775405884, -0.40649980306625366, 0.45085060596466064, 0.02082192339003086, -0.49894797801971436, 0.10399186611175537, 0.46536317467689514]"
"['3/16/14', '3/19/14']","[0.6562415957450867, -0.2657051384449005, -1.0950902700424194, -0.35453858971595764, 0.045999277383089066, 0.6376878023147583, 0.7722004055976868, -0.34597697854042053, 1.1297701597213745, 0.0692315623164177, -0.44788214564323425, 0.3097781240940094, -0.0066202920861542225, 0.8268076777458191, -0.33913713693618774, 0.5895552039146423, 0.1961575597524643, -0.5950911045074463, 0.12072531133890152, 0.3894064724445343]"
