"original_date","home_team_name","away_team_name","away_win","away_loss","away_team_hits","away_team_errors","away_team_hr","away_team_sb","away_team_so","home_win","home_loss","home_team_hits","home_team_errors","home_team_hr","home_team_sb","home_team_so","away_team_runs","home_team_runs","gameday_link","isHome","score_diff","opponent","wins","opponentAngels","opponentAstros","opponentAthletics","opponentBlue.Jays","opponentBraves","opponentBrewers","opponentCardinals","opponentCubs","opponentD.backs","opponentDodgers","opponentGiants","opponentIndians","opponentMariners","opponentMarlins","opponentMets","opponentNationals","opponentPadres","opponentPhillies","opponentPirates","opponentRangers","opponentRays","opponentRed.Sox","opponentReds","opponentRockies","opponentRoyals","opponentTides","opponentTigers","opponentTwins","opponentWhite.Sox","opponentYankees"
"2014/02/28","Rays","Orioles",1,0,9,0,"0","1","8",0,1,7,0,"0","0","8",4,2,"2014_02_28_balmlb_tbamlb_1",-1,2,"Rays",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"2014/03/01","Orioles","Blue Jays",3,1,12,2,"1","2","10",2,0,12,1,"0","2","4",7,9,"2014_03_01_tormlb_balmlb_1",1,2,"Blue Jays",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2014/03/02","Red Sox","Orioles",2,1,9,0,"0","0","7",1,2,12,1,"1","0","8",6,8,"2014_03_02_balmlb_bosmlb_1",-1,-2,"Red Sox",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"2014/03/03","Orioles","Twins",3,1,13,1,"1","0","4",2,2,9,1,"1","0","7",9,2,"2014_03_03_minmlb_balmlb_1",1,-7,"Twins",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"2014/03/04","Yankees","Orioles",3,2,8,0,"0","0","9",4,3,7,0,"1","0","7",3,2,"2014_03_04_balmlb_nyamlb_1",-1,1,"Yankees",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"2014/03/05","Twins","Orioles",4,2,12,1,"1","2","9",4,3,9,1,"0","0","10",11,5,"2014_03_05_balmlb_minmlb_1",-1,6,"Twins",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"2014/03/07","Orioles","Phillies",1,8,6,2,"2","0","2",5,2,16,1,"2","1","8",4,15,"2014_03_07_phimlb_balmlb_1",1,11,"Phillies",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"2014/03/08","Orioles","Red Sox",2,6,6,2,"2","0","3",6,2,13,1,"1","0","12",3,7,"2014_03_08_bosmlb_balmlb_1",1,4,"Red Sox",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"2014/03/08","Red Sox","Orioles",6,2,13,0,"0","4","11",2,6,3,6,"1","0","7",13,2,"2014_03_08_balmlb_bosmlb_1",-1,11,"Red Sox",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"2014/03/09","Orioles","Pirates",7,3,5,0,"2","0","6",8,2,16,1,"2","0","11",2,9,"2014_03_09_pitmlb_balmlb_1",1,7,"Pirates",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
