"wins_next","wins","score_diff","isHome","away_win","away_loss","away_team_hits","away_team_errors","away_team_hr","away_team_sb","away_team_so","home_win","home_loss","home_team_hits","home_team_errors","home_team_hr","home_team_sb","home_team_so","away_team_runs","home_team_runs"
0,0,-1,-1,36,24,4,1,"2","0","7",33,30,10,0,"2","1","10",3,4
1,1,4,-1,84,59,7,1,"0","1","9",63,81,7,3,"0","0","8",4,0
1,0,-1,1,29,35,8,0,"0","0","9",32,31,2,1,"0","0","4",1,0
0,0,-2,-1,47,31,8,1,"1","0","7",40,39,9,0,"1","0","11",3,5
1,1,7,-1,20,12,16,0,"4","0","3",8,25,8,0,"1","1","9",9,2
1,0,-3,1,47,46,9,0,"0","0","12",51,42,5,0,"0","1","5",3,0
1,1,2,-1,12,8,3,0,"1","0","10",10,11,4,0,"0","0","9",3,1
0,0,-1,-1,2,5,7,0,"0","0","7",2,2,4,1,"0","1","9",1,2
0,1,1,1,46,46,7,0,"2","0","7",51,41,5,0,"0","0","6",2,3
1,1,7,1,31,43,12,0,"2","0","9",45,30,17,0,"3","0","6",5,12
0,0,-3,-1,53,37,8,0,"1","0","5",35,56,6,0,"4","0","14",2,5
1,1,6,-1,7,12,14,3,"0","1","4",9,8,7,1,"1","0","5",11,5
1,0,-1,1,50,52,16,0,"1","0","6",51,50,10,0,"2","0","6",9,8
1,0,-9,-1,1,11,6,2,"1","0","7",6,6,15,1,"1","1","7",5,14
0,1,5,-1,11,5,14,1,"1","0","6",11,6,7,0,"1","0","8",8,3
0,0,-1,-1,26,17,8,0,"2","1","11",18,28,8,1,"1","0","19",2,3
0,0,-2,-1,63,64,6,0,"1","0","1",78,49,12,1,"1","0","14",3,5
1,1,1,1,7,14,13,0,"1","2","4",6,14,11,0,"3","0","6",5,6
0,1,2,1,46,55,4,0,"0","0","9",51,49,6,1,"2","0","2",0,2
0,1,2,-1,37,33,11,0,"1","0","12",31,41,8,0,"0","0","5",6,4
1,1,4,1,32,21,15,1,"5","0","4",29,22,14,1,"0","0","6",9,13
0,0,-2,-1,2,1,3,0,"0","0","7",1,2,5,0,"0","0","13",0,2
0,0,-5,-1,73,54,7,1,"0","0","10",57,72,11,0,"1","1","8",2,7
1,0,-2,-1,46,49,7,0,"0","0","5",49,49,5,0,"0","1","14",1,3
0,1,4,-1,22,18,8,0,"1","0","3",20,21,5,1,"0","0","2",4,0
0,1,5,1,87,75,10,0,"0","0","8",81,81,12,0,"2","0","7",4,9
1,0,-4,-1,88,73,9,0,"1","0","10",84,77,12,0,"1","1","6",3,7
1,1,3,1,14,17,9,1,"0","0","6",17,12,8,0,"1","0","7",2,5
0,1,6,-1,8,2,13,1,"5","0","11",6,6,6,1,"1","0","6",11,5
1,0,-7,1,3,1,13,1,"1","0","4",2,2,9,1,"1","0","7",9,2
1,1,2,-1,18,14,9,0,"1","0","4",15,20,9,0,"0","2","9",3,1
1,0,-5,-1,53,40,5,0,"0","0","6",48,46,6,1,"2","0","11",0,5
1,0,-4,1,40,29,4,0,"1","0","7",34,32,9,1,"0","0","3",4,0
1,1,2,1,0,2,5,0,"1","0","6",2,0,9,0,"1","0","13",2,4
0,0,-1,-1,2,3,6,1,"1","0","9",2,2,9,0,"1","0","4",4,5
1,1,8,1,69,64,2,0,"0","0","11",73,61,10,0,"4","0","7",0,8
1,0,-1,1,3,4,7,0,"3","0","13",3,4,11,0,"1","1","7",6,5
1,0,-3,1,57,53,11,2,"2","0","9",61,48,8,0,"1","0","2",6,3
0,1,1,-1,9,2,11,0,"3","0","8",7,5,11,0,"2","1","7",7,6
0,1,4,1,28,35,3,0,"0","0","8",32,30,8,0,"3","0","6",0,4
0,0,-10,1,63,60,14,0,"3","0","9",67,55,7,1,"2","0","4",12,2
0,0,-1,-1,0,4,4,1,"1","0","6",4,0,5,0,"0","0","8",1,2
1,0,-10,1,22,16,12,1,"2","0","3",23,14,2,1,"0","0","6",10,0
0,1,1,-1,53,36,7,0,"1","0","6",34,56,4,0,"0","0","2",2,1
0,0,-1,-1,53,38,5,0,"1","1","6",46,46,7,1,"1","0","6",1,2
0,0,-5,-1,15,13,7,2,"0","1","8",13,15,12,0,"2","1","4",1,6
1,1,1,1,75,70,9,0,"1","1","11",87,59,5,0,"0","1","13",1,2
1,0,-2,-1,62,47,6,0,"0","0","7",53,57,10,1,"2","0","10",2,4
1,0,-8,-1,53,44,3,1,"0","0","10",61,37,15,3,"0","0","11",2,10
0,0,-1,-1,26,24,7,1,"2","0","9",31,22,12,1,"3","0","11",6,7
1,1,1,1,9,12,15,3,"1","0","8",7,14,9,1,"5","1","7",10,11
1,0,-2,-1,23,29,4,0,"0","0","10",34,20,4,0,"3","0","11",1,3
0,1,4,-1,38,27,11,0,"1","1","6",37,28,4,0,"1","0","10",5,1
0,0,-5,-1,11,6,4,1,"0","0","4",12,6,11,0,"2","0","6",1,6
0,1,1,1,0,1,9,0,"1","0","9",1,0,6,0,"1","0","6",1,2
1,0,-8,-1,58,45,5,0,"1","0","11",59,45,10,0,"1","0","13",1,9
1,0,-6,-1,9,5,6,2,"0","0","6",8,5,10,1,"0","0","13",0,6
0,0,-6,-1,46,48,5,0,"3","0","7",53,41,13,0,"1","0","8",3,9
1,0,-1,-1,5,14,10,0,"1","0","2",7,13,9,0,"3","1","8",5,6
1,0,-2,1,40,38,12,1,"4","0","6",41,36,7,0,"3","1","4",8,6
1,0,-8,1,7,6,17,1,"3","0","4",5,7,8,0,"2","0","3",11,3
0,1,3,1,37,48,7,0,"1","0","8",46,39,12,0,"0","4","7",2,5
0,0,-3,1,23,12,6,0,"2","1","7",20,17,7,0,"1","0","10",4,1
0,1,2,1,3,1,12,2,"1","2","10",2,0,12,1,"0","2","4",7,9
1,1,3,-1,48,49,10,0,"1","0","7",49,51,8,0,"2","0","10",5,2
0,1,1,-1,36,23,11,0,"2","0","6",32,30,8,0,"0","0","5",6,5
0,1,1,-1,72,74,7,1,"0","0","8",70,76,6,0,"1","0","11",4,3
1,1,3,1,8,7,7,0,"0","1","9",4,11,9,0,"1","0","7",1,4
1,0,-1,-1,62,63,7,0,"0","1","3",77,48,6,1,"1","0","9",2,3
1,1,1,1,0,1,7,0,"0","0","10",1,0,10,0,"0","1","10",2,3
0,0,-1,-1,69,51,7,0,"0","0","9",61,60,6,1,"2","0","12",1,2
1,1,9,1,0,1,8,2,"3","0","6",1,0,12,0,"2","1","10",3,12
1,0,-6,-1,9,10,8,1,"1","0","10",11,9,9,0,"3","0","8",3,9
0,1,2,1,47,47,4,0,"1","0","4",52,42,5,0,"1","0","2",1,3
1,0,-2,1,18,21,12,0,"1","0","6",17,20,10,0,"0","0","6",4,2
0,0,-3,1,4,1,7,0,"0","1","5",0,7,6,0,"0","0","8",3,0
0,0,-1,1,61,61,11,0,"0","0","8",62,59,5,0,"1","0","9",4,3
0,1,5,1,39,33,7,0,"2","0","8",40,28,19,1,"2","0","8",6,11
0,1,8,1,61,60,7,0,"2","0","5",67,53,18,1,"6","0","11",5,13
0,0,-1,-1,12,14,6,0,"2","0","6",18,11,11,0,"1","0","6",3,4
1,0,-3,1,70,65,7,0,"0","0","10",74,62,6,1,"0","0","6",5,2
0,1,1,-1,76,76,7,0,"2","0","7",78,74,10,0,"1","0","2",5,4
0,1,9,-1,76,62,14,1,"3","0","7",58,79,8,1,"1","1","7",11,2
1,1,8,1,64,67,4,2,"0","0","8",74,55,14,1,"5","0","4",1,9
1,1,1,-1,1,2,8,0,"1","0","9",0,1,7,1,"1","0","6",3,2
1,1,7,1,87,73,6,0,"0","0","5",79,81,15,1,"1","1","7",2,9
0,1,3,-1,89,73,7,0,"2","0","6",84,78,10,0,"1","0","8",5,2
1,0,-1,-1,73,76,9,0,"1","0","12",72,77,14,2,"2","1","5",6,7
0,0,-2,-1,30,28,8,3,"2","1","4",30,30,13,0,"1","2","7",6,8
0,1,2,1,61,58,6,0,"1","1","8",69,50,6,0,"2","0","5",3,5
0,1,2,1,5,3,6,0,"1","1","8",3,6,9,0,"1","1","9",1,3
1,1,2,1,24,27,5,1,"0","0","11",25,23,9,0,"2","2","8",2,4
