articles,tweets,date_final,date_start,label,stats
"[2.22965440357e-05, 2.22965440357e-05, 2.22965440357e-05, 2.22965440357e-05, 2.22965440357e-05, 0.296581321228, 2.22965440357e-05, 2.22965440357e-05, 0.132730093755, 2.22965440357e-05, 2.22965440357e-05, 2.22965440357e-05, 2.22965440357e-05, 2.22965440357e-05, 2.22965440357e-05, 2.22965440357e-05, 2.22965440357e-05, 2.22965440357e-05, 2.22965440357e-05, 2.22965440357e-05, 2.22965440357e-05, 2.22965440357e-05, 2.22965440357e-05, 2.22965440357e-05, 2.22965440357e-05, 2.22965440357e-05, 2.22965440357e-05, 2.22965440357e-05, 0.0438431511997, 2.22965440357e-05, 2.22965440357e-05, 2.22965440357e-05, 2.22965440357e-05, 0.0400871247316, 0.485754964604, 2.22965440357e-05, 2.22965440357e-05, 2.22965440357e-05, 2.22965440357e-05, 2.22965440357e-05, 2.22965440357e-05, 2.22965440357e-05, 2.22965440357e-05, 2.22965440357e-05, 2.22965440357e-05, 2.22965440357e-05, 2.22965440357e-05, 2.22965440357e-05, 2.22965440357e-05, 2.22965440357e-05]","[0.00017321872564270003, 0.00017321872564270003, 0.00017321872564270003, 0.00017321872564270003, 0.00017321872564270003, 0.00017321872564270003, 0.00017321872564270003, 0.00017321872564270003, 0.00017321872564270003, 0.07373415938978158, 0.00017321872564270003, 0.00017321872564270003, 0.00017321872564270003, 0.00017321872564270003, 0.00017321872564270003, 0.03985074384503157, 0.2435942713572742, 0.00017321872564270003, 0.00017321872564270003, 0.00017321872564270003, 0.00017321872564270003, 0.00017321872564270003, 0.00017321872564270003, 0.2401876482656685, 0.10176599419464644, 0.2185166202958685, 0.00017321872564270003, 0.00017321872564270003, 0.00017321872564270003, 0.04995258553333258, 0.00017321872564270003, 0.00017321872564270003, 0.02512279064148158, 0.00017321872564270003, 0.00017321872564270003, 0.00017321872564270003, 0.00017321872564270003, 0.00017321872564270003, 0.00017321872564270003, 0.00017321872564270003, 0.00017321872564270003, 0.00017321872564270003, 0.00017321872564270003, 0.00017321872564270003, 0.00017321872564270003, 0.00017321872564270003, 0.00017321872564270003, 0.00017321872564270003, 0.00017321872564270003, 0.00017321872564270003]",3/2/14,3/1/14,0,"[1, 3, 1, 12, 2, 1, 2, 10, 2, 0, 12, 1, 0, 2, 4, 7, 9, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"[2.68456375839e-05, 2.68456375839e-05, 2.68456375839e-05, 2.68456375839e-05, 2.68456375839e-05, 0.322578162092, 2.68456375839e-05, 2.68456375839e-05, 0.0324515107195, 2.68456375839e-05, 2.68456375839e-05, 2.68456375839e-05, 2.68456375839e-05, 2.68456375839e-05, 2.68456375839e-05, 2.68456375839e-05, 2.68456375839e-05, 2.68456375839e-05, 2.68456375839e-05, 2.68456375839e-05, 2.68456375839e-05, 2.68456375839e-05, 2.68456375839e-05, 2.68456375839e-05, 2.68456375839e-05, 2.68456375839e-05, 2.68456375839e-05, 2.68456375839e-05, 2.68456375839e-05, 2.68456375839e-05, 2.68456375839e-05, 2.68456375839e-05, 2.68456375839e-05, 2.68456375839e-05, 0.643708582222, 2.68456375839e-05, 2.68456375839e-05, 2.68456375839e-05, 2.68456375839e-05, 2.68456375839e-05, 2.68456375839e-05, 2.68456375839e-05, 2.68456375839e-05, 2.68456375839e-05, 2.68456375839e-05, 2.68456375839e-05, 2.68456375839e-05, 2.68456375839e-05, 2.68456375839e-05, 2.68456375839e-05]","[5.46448087432e-05, 5.46448087432e-05, 5.46448087432e-05, 5.46448087432e-05, 5.46448087432e-05, 5.46448087432e-05, 5.46448087432e-05, 5.46448087432e-05, 0.35788599357699996, 0.232085575958, 5.46448087432e-05, 5.46448087432e-05, 5.46448087432e-05, 5.46448087432e-05, 5.46448087432e-05, 5.46448087432e-05, 5.46448087432e-05, 5.46448087432e-05, 5.46448087432e-05, 5.46448087432e-05, 5.46448087432e-05, 5.46448087432e-05, 5.46448087432e-05, 5.46448087432e-05, 5.46448087432e-05, 0.407460124454, 5.46448087432e-05, 5.46448087432e-05, 5.46448087432e-05, 5.46448087432e-05, 5.46448087432e-05, 5.46448087432e-05, 5.46448087432e-05, 5.46448087432e-05, 5.46448087432e-05, 5.46448087432e-05, 5.46448087432e-05, 5.46448087432e-05, 5.46448087432e-05, 5.46448087432e-05, 5.46448087432e-05, 5.46448087432e-05, 5.46448087432e-05, 5.46448087432e-05, 5.46448087432e-05, 5.46448087432e-05, 5.46448087432e-05, 5.46448087432e-05, 5.46448087432e-05, 5.46448087432e-05]",3/3/14,3/2/14,0,"[0, 2, 1, 9, 0, 0, 0, 7, 1, 2, 12, 1, 1, 0, 8, 6, 8, -1, -2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
"[4.72813238771e-05, 4.72813238771e-05, 4.72813238771e-05, 4.72813238771e-05, 4.72813238771e-05, 4.72813238771e-05, 4.72813238771e-05, 4.72813238771e-05, 0.137977115427, 4.72813238771e-05, 4.72813238771e-05, 4.72813238771e-05, 4.72813238771e-05, 4.72813238771e-05, 4.72813238771e-05, 4.72813238771e-05, 4.72813238771e-05, 4.72813238771e-05, 4.72813238771e-05, 4.72813238771e-05, 4.72813238771e-05, 4.72813238771e-05, 4.72813238771e-05, 4.72813238771e-05, 4.72813238771e-05, 4.72813238771e-05, 4.72813238771e-05, 4.72813238771e-05, 0.0221723466875, 4.72813238771e-05, 4.72813238771e-05, 4.72813238771e-05, 4.72813238771e-05, 4.72813238771e-05, 0.837628315663, 4.72813238771e-05, 4.72813238771e-05, 4.72813238771e-05, 4.72813238771e-05, 4.72813238771e-05, 4.72813238771e-05, 4.72813238771e-05, 4.72813238771e-05, 4.72813238771e-05, 4.72813238771e-05, 4.72813238771e-05, 4.72813238771e-05, 4.72813238771e-05, 4.72813238771e-05, 4.72813238771e-05]","[2.01409869084e-05, 2.01409869084e-05, 2.01409869084e-05, 2.01409869084e-05, 2.01409869084e-05, 2.01409869084e-05, 2.01409869084e-05, 2.01409869084e-05, 0.999013091641, 2.01409869084e-05, 2.01409869084e-05, 2.01409869084e-05, 2.01409869084e-05, 2.01409869084e-05, 2.01409869084e-05, 2.01409869084e-05, 2.01409869084e-05, 2.01409869084e-05, 2.01409869084e-05, 2.01409869084e-05, 2.01409869084e-05, 2.01409869084e-05, 2.01409869084e-05, 2.01409869084e-05, 2.01409869084e-05, 2.01409869084e-05, 2.01409869084e-05, 2.01409869084e-05, 2.01409869084e-05, 2.01409869084e-05, 2.01409869084e-05, 2.01409869084e-05, 2.01409869084e-05, 2.01409869084e-05, 2.01409869084e-05, 2.01409869084e-05, 2.01409869084e-05, 2.01409869084e-05, 2.01409869084e-05, 2.01409869084e-05, 2.01409869084e-05, 2.01409869084e-05, 2.01409869084e-05, 2.01409869084e-05, 2.01409869084e-05, 2.01409869084e-05, 2.01409869084e-05, 2.01409869084e-05, 2.01409869084e-05, 2.01409869084e-05]",3/4/14,3/3/14,1,"[0, 3, 1, 13, 1, 1, 0, 4, 2, 2, 9, 1, 1, 0, 7, 9, 2, 1, -7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
"[3.1847133758e-05, 3.1847133758e-05, 3.1847133758e-05, 3.1847133758e-05, 3.1847133758e-05, 3.1847133758e-05, 3.1847133758e-05, 0.0158510951781, 0.123467970976, 3.1847133758e-05, 3.1847133758e-05, 3.1847133758e-05, 3.1847133758e-05, 3.1847133758e-05, 3.1847133758e-05, 3.1847133758e-05, 3.1847133758e-05, 3.1847133758e-05, 3.1847133758e-05, 3.1847133758e-05, 3.1847133758e-05, 3.1847133758e-05, 3.1847133758e-05, 3.1847133758e-05, 3.1847133758e-05, 3.1847133758e-05, 3.1847133758e-05, 3.1847133758e-05, 0.0163077019678, 3.1847133758e-05, 3.1847133758e-05, 3.1847133758e-05, 3.1847133758e-05, 3.1847133758e-05, 0.842908263725, 3.1847133758e-05, 3.1847133758e-05, 3.1847133758e-05, 3.1847133758e-05, 3.1847133758e-05, 3.1847133758e-05, 3.1847133758e-05, 3.1847133758e-05, 3.1847133758e-05, 3.1847133758e-05, 3.1847133758e-05, 3.1847133758e-05, 3.1847133758e-05, 3.1847133758e-05, 3.1847133758e-05]","[4.70588235294e-05, 4.70588235294e-05, 4.70588235294e-05, 4.70588235294e-05, 4.70588235294e-05, 4.70588235294e-05, 4.70588235294e-05, 4.70588235294e-05, 0.505164440688, 0.13034328237099999, 4.70588235294e-05, 4.70588235294e-05, 4.70588235294e-05, 4.70588235294e-05, 4.70588235294e-05, 4.70588235294e-05, 0.0193060598844, 4.70588235294e-05, 4.70588235294e-05, 4.70588235294e-05, 4.70588235294e-05, 4.70588235294e-05, 4.70588235294e-05, 0.0119981985247, 4.70588235294e-05, 0.331070371473, 4.70588235294e-05, 4.70588235294e-05, 4.70588235294e-05, 4.70588235294e-05, 4.70588235294e-05, 4.70588235294e-05, 4.70588235294e-05, 4.70588235294e-05, 4.70588235294e-05, 4.70588235294e-05, 4.70588235294e-05, 4.70588235294e-05, 4.70588235294e-05, 4.70588235294e-05, 4.70588235294e-05, 4.70588235294e-05, 4.70588235294e-05, 4.70588235294e-05, 4.70588235294e-05, 4.70588235294e-05, 4.70588235294e-05, 4.70588235294e-05, 4.70588235294e-05, 4.70588235294e-05]",3/5/14,3/4/14,1,"[1, 3, 2, 8, 0, 0, 0, 9, 4, 3, 7, 0, 1, 0, 7, 3, 2, -1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
"[2.75103163686e-05, 2.75103163686e-05, 2.75103163686e-05, 2.75103163686e-05, 2.75103163686e-05, 2.75103163686e-05, 2.75103163686e-05, 0.674353996015, 2.75103163686e-05, 2.75103163686e-05, 2.75103163686e-05, 2.75103163686e-05, 2.75103163686e-05, 2.75103163686e-05, 2.75103163686e-05, 2.75103163686e-05, 2.75103163686e-05, 2.75103163686e-05, 2.75103163686e-05, 2.75103163686e-05, 2.75103163686e-05, 2.75103163686e-05, 2.75103163686e-05, 2.75103163686e-05, 2.75103163686e-05, 2.75103163686e-05, 2.75103163686e-05, 2.75103163686e-05, 2.75103163686e-05, 2.75103163686e-05, 2.75103163686e-05, 2.75103163686e-05, 2.75103163686e-05, 2.75103163686e-05, 0.324325508799, 2.75103163686e-05, 2.75103163686e-05, 2.75103163686e-05, 2.75103163686e-05, 2.75103163686e-05, 2.75103163686e-05, 2.75103163686e-05, 2.75103163686e-05, 2.75103163686e-05, 2.75103163686e-05, 2.75103163686e-05, 2.75103163686e-05, 2.75103163686e-05, 2.75103163686e-05, 2.75103163686e-05]","[6.22107436069e-05, 6.22107436069e-05, 6.22107436069e-05, 6.22107436069e-05, 6.22107436069e-05, 6.22107436069e-05, 6.22107436069e-05, 6.22107436069e-05, 0.0622960706036, 0.18496347815769998, 6.22107436069e-05, 6.22107436069e-05, 6.22107436069e-05, 6.22107436069e-05, 6.22107436069e-05, 6.22107436069e-05, 0.0939591973770744, 6.22107436069e-05, 6.22107436069e-05, 6.22107436069e-05, 6.22107436069e-05, 6.22107436069e-05, 6.22107436069e-05, 0.0109080428765744, 0.1189918033815325, 0.5143908692995, 6.22107436069e-05, 6.22107436069e-05, 6.22107436069e-05, 6.22107436069e-05, 6.22107436069e-05, 6.22107436069e-05, 0.0118154763291325, 6.22107436069e-05, 6.22107436069e-05, 6.22107436069e-05, 6.22107436069e-05, 6.22107436069e-05, 6.22107436069e-05, 6.22107436069e-05, 6.22107436069e-05, 6.22107436069e-05, 6.22107436069e-05, 6.22107436069e-05, 6.22107436069e-05, 6.22107436069e-05, 6.22107436069e-05, 6.22107436069e-05, 6.22107436069e-05, 6.22107436069e-05]",3/7/14,3/5/14,1,"[1, 4, 2, 12, 1, 1, 2, 9, 4, 3, 9, 1, 0, 0, 10, 11, 5, -1, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
"[4.22832980973e-05, 4.22832980973e-05, 4.22832980973e-05, 4.22832980973e-05, 4.22832980973e-05, 0.231421975805, 4.22832980973e-05, 4.22832980973e-05, 4.22832980973e-05, 4.22832980973e-05, 4.22832980973e-05, 4.22832980973e-05, 4.22832980973e-05, 4.22832980973e-05, 4.22832980973e-05, 4.22832980973e-05, 4.22832980973e-05, 4.22832980973e-05, 4.22832980973e-05, 4.22832980973e-05, 4.22832980973e-05, 4.22832980973e-05, 4.22832980973e-05, 4.22832980973e-05, 4.22832980973e-05, 4.22832980973e-05, 4.22832980973e-05, 4.22832980973e-05, 4.22832980973e-05, 4.22832980973e-05, 4.22832980973e-05, 4.22832980973e-05, 4.22832980973e-05, 4.22832980973e-05, 0.766548425886, 4.22832980973e-05, 4.22832980973e-05, 4.22832980973e-05, 4.22832980973e-05, 4.22832980973e-05, 4.22832980973e-05, 4.22832980973e-05, 4.22832980973e-05, 4.22832980973e-05, 4.22832980973e-05, 4.22832980973e-05, 4.22832980973e-05, 4.22832980973e-05, 4.22832980973e-05, 4.22832980973e-05]","[3.57142857143e-05, 3.57142857143e-05, 3.57142857143e-05, 3.57142857143e-05, 3.57142857143e-05, 3.57142857143e-05, 3.57142857143e-05, 3.57142857143e-05, 0.109837450513, 3.57142857143e-05, 3.57142857143e-05, 3.57142857143e-05, 3.57142857143e-05, 3.57142857143e-05, 3.57142857143e-05, 0.120002268637, 3.57142857143e-05, 3.57142857143e-05, 3.57142857143e-05, 3.57142857143e-05, 3.57142857143e-05, 3.57142857143e-05, 3.57142857143e-05, 0.012380909311799998, 0.359624146017, 0.27731564508400003, 3.57142857143e-05, 3.57142857143e-05, 3.57142857143e-05, 0.119268151866, 3.57142857143e-05, 3.57142857143e-05, 3.57142857143e-05, 3.57142857143e-05, 3.57142857143e-05, 3.57142857143e-05, 3.57142857143e-05, 3.57142857143e-05, 3.57142857143e-05, 3.57142857143e-05, 3.57142857143e-05, 3.57142857143e-05, 3.57142857143e-05, 3.57142857143e-05, 3.57142857143e-05, 3.57142857143e-05, 3.57142857143e-05, 3.57142857143e-05, 3.57142857143e-05, 3.57142857143e-05]",3/8/14,3/7/14,1,"[1, 1, 8, 6, 2, 2, 0, 2, 5, 2, 16, 1, 2, 1, 8, 4, 15, 1, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"[3.9603960396e-05, 3.9603960396e-05, 3.9603960396e-05, 3.9603960396e-05, 3.9603960396e-05, 0.316910885615, 3.9603960396e-05, 3.9603960396e-05, 0.352515443339, 3.9603960396e-05, 3.9603960396e-05, 3.9603960396e-05, 3.9603960396e-05, 3.9603960396e-05, 3.9603960396e-05, 3.9603960396e-05, 3.9603960396e-05, 3.9603960396e-05, 3.9603960396e-05, 3.9603960396e-05, 3.9603960396e-05, 3.9603960396e-05, 3.9603960396e-05, 3.9603960396e-05, 3.9603960396e-05, 3.9603960396e-05, 3.9603960396e-05, 3.9603960396e-05, 3.9603960396e-05, 3.9603960396e-05, 3.9603960396e-05, 3.9603960396e-05, 3.9603960396e-05, 3.9603960396e-05, 0.328712284908, 3.9603960396e-05, 3.9603960396e-05, 3.9603960396e-05, 3.9603960396e-05, 3.9603960396e-05, 3.9603960396e-05, 3.9603960396e-05, 3.9603960396e-05, 3.9603960396e-05, 3.9603960396e-05, 3.9603960396e-05, 3.9603960396e-05, 3.9603960396e-05, 3.9603960396e-05, 3.9603960396e-05]","[5.6657223796000005e-05, 5.6657223796000005e-05, 5.6657223796000005e-05, 5.6657223796000005e-05, 5.6657223796000005e-05, 5.6657223796000005e-05, 5.6657223796000005e-05, 5.6657223796000005e-05, 0.05185598440480001, 0.49261255648900004, 5.6657223796000005e-05, 5.6657223796000005e-05, 5.6657223796000005e-05, 5.6657223796000005e-05, 5.6657223796000005e-05, 0.0364452815914, 5.6657223796000005e-05, 5.6657223796000005e-05, 5.6657223796000005e-05, 5.6657223796000005e-05, 5.6657223796000005e-05, 5.6657223796000005e-05, 5.6657223796000005e-05, 5.6657223796000005e-05, 0.056924030199, 0.309207631057, 5.6657223796000005e-05, 5.6657223796000005e-05, 5.6657223796000005e-05, 5.6657223796000005e-05, 5.6657223796000005e-05, 5.6657223796000005e-05, 0.0504615984124, 5.6657223796000005e-05, 5.6657223796000005e-05, 5.6657223796000005e-05, 5.6657223796000005e-05, 5.6657223796000005e-05, 5.6657223796000005e-05, 5.6657223796000005e-05, 5.6657223796000005e-05, 5.6657223796000005e-05, 5.6657223796000005e-05, 5.6657223796000005e-05, 5.6657223796000005e-05, 5.6657223796000005e-05, 5.6657223796000005e-05, 5.6657223796000005e-05, 5.6657223796000005e-05, 5.6657223796000005e-05]",3/9/14,3/8/14,1,"[1, 6, 2, 13, 0, 0, 4, 11, 2, 6, 3, 6, 1, 0, 7, 13, 2, -1, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
"[0.000126582278481, 0.000126582278481, 0.000126582278481, 0.000126582278481, 0.000126582278481, 0.380123010259, 0.000126582278481, 0.000126582278481, 0.142848870056, 0.000126582278481, 0.000126582278481, 0.000126582278481, 0.000126582278481, 0.000126582278481, 0.000126582278481, 0.000126582278481, 0.000126582278481, 0.000126582278481, 0.000126582278481, 0.000126582278481, 0.000126582278481, 0.000126582278481, 0.000126582278481, 0.000126582278481, 0.000126582278481, 0.000126582278481, 0.000126582278481, 0.000126582278481, 0.000126582278481, 0.000126582278481, 0.000126582278481, 0.000126582278481, 0.000126582278481, 0.000126582278481, 0.471078752596, 0.000126582278481, 0.000126582278481, 0.000126582278481, 0.000126582278481, 0.000126582278481, 0.000126582278481, 0.000126582278481, 0.000126582278481, 0.000126582278481, 0.000126582278481, 0.000126582278481, 0.000126582278481, 0.000126582278481, 0.000126582278481, 0.000126582278481]","[7.87401574803e-05, 7.87401574803e-05, 7.87401574803e-05, 7.87401574803e-05, 7.87401574803e-05, 7.87401574803e-05, 7.87401574803e-05, 7.87401574803e-05, 0.0463511018064, 0.45376700310199997, 7.87401574803e-05, 7.87401574803e-05, 7.87401574803e-05, 7.87401574803e-05, 7.87401574803e-05, 7.87401574803e-05, 7.87401574803e-05, 7.87401574803e-05, 7.87401574803e-05, 7.87401574803e-05, 7.87401574803e-05, 7.87401574803e-05, 7.87401574803e-05, 7.87401574803e-05, 7.87401574803e-05, 0.49618110768999996, 7.87401574803e-05, 7.87401574803e-05, 7.87401574803e-05, 7.87401574803e-05, 7.87401574803e-05, 7.87401574803e-05, 7.87401574803e-05, 7.87401574803e-05, 7.87401574803e-05, 7.87401574803e-05, 7.87401574803e-05, 7.87401574803e-05, 7.87401574803e-05, 7.87401574803e-05, 7.87401574803e-05, 7.87401574803e-05, 7.87401574803e-05, 7.87401574803e-05, 7.87401574803e-05, 7.87401574803e-05, 7.87401574803e-05, 7.87401574803e-05, 7.87401574803e-05, 7.87401574803e-05]",3/10/14,3/9/14,1,"[1, 7, 3, 5, 0, 2, 0, 6, 8, 2, 16, 1, 2, 0, 11, 2, 9, 1, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"[5.03778337532e-05, 5.03778337532e-05, 5.03778337532e-05, 5.03778337532e-05, 5.03778337532e-05, 0.0374514583414, 5.03778337532e-05, 5.03778337532e-05, 0.100713054299, 5.03778337532e-05, 5.03778337532e-05, 5.03778337532e-05, 5.03778337532e-05, 5.03778337532e-05, 5.03778337532e-05, 5.03778337532e-05, 5.03778337532e-05, 5.03778337532e-05, 5.03778337532e-05, 5.03778337532e-05, 5.03778337532e-05, 5.03778337532e-05, 5.03778337532e-05, 5.03778337532e-05, 5.03778337532e-05, 5.03778337532e-05, 5.03778337532e-05, 5.03778337532e-05, 5.03778337532e-05, 5.03778337532e-05, 5.03778337532e-05, 5.03778337532e-05, 5.03778337532e-05, 5.03778337532e-05, 0.859467729173, 5.03778337532e-05, 5.03778337532e-05, 5.03778337532e-05, 5.03778337532e-05, 5.03778337532e-05, 5.03778337532e-05, 5.03778337532e-05, 5.03778337532e-05, 5.03778337532e-05, 5.03778337532e-05, 5.03778337532e-05, 5.03778337532e-05, 5.03778337532e-05, 5.03778337532e-05, 5.03778337532e-05]","[5.60224089636e-05, 5.60224089636e-05, 5.60224089636e-05, 5.60224089636e-05, 5.60224089636e-05, 5.60224089636e-05, 5.60224089636e-05, 5.60224089636e-05, 0.04804470254840001, 0.09492156663899999, 5.60224089636e-05, 5.60224089636e-05, 5.60224089636e-05, 5.60224089636e-05, 5.60224089636e-05, 5.60224089636e-05, 5.60224089636e-05, 5.60224089636e-05, 5.60224089636e-05, 5.60224089636e-05, 5.60224089636e-05, 5.60224089636e-05, 5.60224089636e-05, 5.60224089636e-05, 5.60224089636e-05, 0.452471516382, 5.60224089636e-05, 5.60224089636e-05, 5.60224089636e-05, 0.401985183618, 5.60224089636e-05, 5.60224089636e-05, 5.60224089636e-05, 5.60224089636e-05, 5.60224089636e-05, 5.60224089636e-05, 5.60224089636e-05, 5.60224089636e-05, 5.60224089636e-05, 5.60224089636e-05, 5.60224089636e-05, 5.60224089636e-05, 5.60224089636e-05, 5.60224089636e-05, 5.60224089636e-05, 5.60224089636e-05, 5.60224089636e-05, 5.60224089636e-05, 5.60224089636e-05, 5.60224089636e-05]",3/11/14,3/10/14,0,"[1, 9, 2, 11, 0, 3, 0, 8, 7, 5, 11, 0, 2, 1, 7, 7, 6, -1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"[4.50450450451e-05, 4.50450450451e-05, 4.50450450451e-05, 4.50450450451e-05, 4.50450450451e-05, 0.122277524984, 4.50450450451e-05, 4.50450450451e-05, 0.0780347115163, 4.50450450451e-05, 4.50450450451e-05, 4.50450450451e-05, 4.50450450451e-05, 4.50450450451e-05, 4.50450450451e-05, 4.50450450451e-05, 4.50450450451e-05, 4.50450450451e-05, 4.50450450451e-05, 4.50450450451e-05, 4.50450450451e-05, 4.50450450451e-05, 4.50450450451e-05, 4.50450450451e-05, 4.50450450451e-05, 4.50450450451e-05, 4.50450450451e-05, 4.50450450451e-05, 4.50450450451e-05, 4.50450450451e-05, 4.50450450451e-05, 4.50450450451e-05, 4.50450450451e-05, 4.50450450451e-05, 0.797570646382, 4.50450450451e-05, 4.50450450451e-05, 4.50450450451e-05, 4.50450450451e-05, 4.50450450451e-05, 4.50450450451e-05, 4.50450450451e-05, 4.50450450451e-05, 4.50450450451e-05, 4.50450450451e-05, 4.50450450451e-05, 4.50450450451e-05, 4.50450450451e-05, 4.50450450451e-05, 4.50450450451e-05]","[8e-05, 8e-05, 8e-05, 8e-05, 8e-05, 8e-05, 8e-05, 8e-05, 0.042766181024000004, 0.20454731631499998, 8e-05, 8e-05, 8e-05, 8e-05, 8e-05, 0.0458142791333, 8e-05, 8e-05, 8e-05, 8e-05, 8e-05, 8e-05, 8e-05, 0.0209459658545, 8e-05, 0.6823262576729999, 8e-05, 8e-05, 8e-05, 8e-05, 8e-05, 8e-05, 8e-05, 8e-05, 8e-05, 8e-05, 8e-05, 8e-05, 8e-05, 8e-05, 8e-05, 8e-05, 8e-05, 8e-05, 8e-05, 8e-05, 8e-05, 8e-05, 8e-05, 8e-05]",3/12/14,3/11/14,0,"[0, 5, 7, 12, 0, 3, 1, 5, 9, 3, 7, 1, 0, 0, 6, 6, 5, 1, -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
