"['3/2/14', '3/1/14']","[3.431670904159546, 6.121073246002197, 10.461172103881836, 7.577756881713867, 1.357662558555603, -6.700915336608887, 0.6183866858482361, -2.4537229537963867, -10.785789489746094, -8.012709617614746]"
"['3/3/14', '3/2/14']","[4.661609172821045, 3.660248041152954, 9.191737174987793, 6.862347602844238, 1.9820516109466553, -6.1871724128723145, 0.8153943419456482, -2.484708070755005, -9.792052268981934, -7.740853786468506]"
"['3/4/14', '3/3/14']","[6.373095512390137, 4.305346488952637, 7.599842548370361, 6.430959224700928, 2.956805467605591, -5.005508899688721, -0.7394375801086426, -1.2997528314590454, -13.134263038635254, -8.529696464538574]"
"['3/5/14', '3/4/14']","[4.4811530113220215, 6.100670337677002, 8.205547332763672, 7.267766952514648, 2.4363718032836914, -5.122734546661377, -1.3378117084503174, -2.6407129764556885, -7.916898727416992, -8.641584396362305]"
"['3/7/14', '3/5/14']","[5.021365165710449, 8.514721870422363, 11.68496036529541, 8.671175956726074, 1.6553481817245483, -6.7821574211120605, -0.9587759971618652, -3.4966330528259277, -11.331572532653809, -10.892725944519043]"
"['3/8/14', '3/7/14']","[4.676548480987549, 0.34653836488723755, 12.363847732543945, 8.89970588684082, 1.7304415702819824, -8.066146850585938, 6.314436912536621, -6.0247602462768555, -3.2635297775268555, -6.3601975440979]"
"['3/9/14', '3/8/14']","[5.09367561340332, 10.111735343933105, 10.67434310913086, 11.66525650024414, 3.130728006362915, -6.960959434509277, -3.135690927505493, -4.530639171600342, -12.333168983459473, -12.160713195800781]"
"['3/10/14', '3/9/14']","[6.044308185577393, 3.662919759750366, 12.229350090026855, 9.71603012084961, 3.464628219604492, -7.689395904541016, 2.2276365756988525, -5.274339199066162, -5.041197776794434, -9.451093673706055]"
"['3/11/14', '3/10/14']","[9.03412914276123, 7.14988374710083, 9.341266632080078, 8.325891494750977, 5.220980644226074, -5.34278678894043, -1.833858847618103, -3.1077024936676025, -10.586628913879395, -10.915891647338867]"
"['3/12/14', '3/11/14']","[8.557877540588379, 5.657135009765625, 9.323648452758789, 7.3173418045043945, 4.853759765625, -5.502379894256592, -0.917422890663147, -3.5749149322509766, -9.351784706115723, -10.929489135742188]"
"['3/13/14', '3/12/14']","[9.002995491027832, 3.429229736328125, 9.687479019165039, 8.741005897521973, 5.599974632263184, -6.829325199127197, 0.7712393999099731, -4.04486608505249, -8.942878723144531, -9.657017707824707]"
