original_date,previous_date
3/2/14,3/1/14
3/3/14,3/2/14
3/4/14,3/3/14
3/5/14,3/4/14
3/7/14,3/5/14
3/8/14,3/7/14
3/9/14,3/8/14
3/10/14,3/9/14
3/11/14,3/10/14
3/12/14,3/11/14
3/13/14,3/12/14
3/15/14,3/13/14
3/16/14,3/15/14
3/19/14,3/16/14
3/20/14,3/19/14
3/21/14,3/20/14
3/25/14,3/21/14
3/26/14,3/25/14
3/27/14,3/26/14
3/29/14,3/27/14
3/31/14,3/29/14
4/2/14,3/31/14
4/3/14,4/2/14
4/4/14,4/3/14
4/5/14,4/4/14
4/6/14,4/5/14
4/7/14,4/6/14
4/8/14,4/7/14
4/9/14,4/8/14
4/11/14,4/9/14
4/12/14,4/11/14
4/13/14,4/12/14
4/14/14,4/13/14
4/16/14,4/14/14
4/18/14,4/16/14
4/19/14,4/18/14
4/20/14,4/19/14
4/21/14,4/20/14
4/22/14,4/21/14
4/23/14,4/22/14
4/24/14,4/23/14
4/25/14,4/24/14
4/26/14,4/25/14
4/27/14,4/26/14
5/1/14,4/27/14
5/2/14,5/1/14
5/3/14,5/2/14
5/4/14,5/3/14
5/6/14,5/4/14
5/7/14,5/6/14
5/8/14,5/7/14
5/9/14,5/8/14
5/10/14,5/9/14
5/11/14,5/10/14
5/12/14,5/11/14
5/13/14,5/12/14
5/14/14,5/13/14
5/15/14,5/14/14
5/16/14,5/15/14
5/17/14,5/16/14
5/18/14,5/17/14
5/20/14,5/18/14
5/21/14,5/20/14
5/22/14,5/21/14
5/23/14,5/22/14
5/24/14,5/23/14
5/25/14,5/24/14
5/26/14,5/25/14
5/27/14,5/26/14
5/28/14,5/27/14
5/29/14,5/28/14
5/30/14,5/29/14
5/31/14,5/30/14
6/1/14,5/31/14
6/3/14,6/1/14
6/4/14,6/3/14
6/5/14,6/4/14
6/6/14,6/5/14
6/7/14,6/6/14
6/8/14,6/7/14
6/9/14,6/8/14
6/10/14,6/9/14
6/11/14,6/10/14
6/12/14,6/11/14
6/13/14,6/12/14
6/14/14,6/13/14
6/15/14,6/14/14
6/16/14,6/15/14
6/17/14,6/16/14
6/18/14,6/17/14
6/20/14,6/18/14
6/21/14,6/20/14
6/22/14,6/21/14
6/23/14,6/22/14
6/24/14,6/23/14
6/25/14,6/24/14
6/27/14,6/25/14
6/28/14,6/27/14
6/29/14,6/28/14
6/30/14,6/29/14
7/1/14,6/30/14
7/2/14,7/1/14
7/3/14,7/2/14
7/5/14,7/3/14
7/6/14,7/5/14
7/7/14,7/6/14
7/9/14,7/7/14
7/10/14,7/9/14
7/11/14,7/10/14
7/12/14,7/11/14
7/13/14,7/12/14
7/18/14,7/13/14
7/19/14,7/18/14
7/20/14,7/19/14
7/21/14,7/20/14
7/22/14,7/21/14
7/23/14,7/22/14
7/24/14,7/23/14
7/25/14,7/24/14
7/26/14,7/25/14
7/27/14,7/26/14
7/29/14,7/27/14
7/30/14,7/29/14
7/31/14,7/30/14
8/1/14,7/31/14
8/2/14,8/1/14
8/3/14,8/2/14
8/4/14,8/3/14
8/5/14,8/4/14
8/6/14,8/5/14
8/7/14,8/6/14
8/8/14,8/7/14
8/9/14,8/8/14
8/10/14,8/9/14
8/11/14,8/10/14
8/13/14,8/11/14
8/15/14,8/13/14
8/16/14,8/15/14
8/17/14,8/16/14
8/18/14,8/17/14
8/19/14,8/18/14
8/20/14,8/19/14
8/22/14,8/20/14
8/23/14,8/22/14
8/24/14,8/23/14
8/25/14,8/24/14
8/26/14,8/25/14
8/27/14,8/26/14
8/28/14,8/27/14
8/29/14,8/28/14
8/30/14,8/29/14
8/31/14,8/30/14
9/1/14,8/31/14
9/2/14,9/1/14
9/3/14,9/2/14
9/4/14,9/3/14
9/5/14,9/4/14
9/6/14,9/5/14
9/7/14,9/6/14
9/8/14,9/7/14
9/9/14,9/8/14
9/10/14,9/9/14
9/12/14,9/10/14
9/13/14,9/12/14
9/14/14,9/13/14
9/15/14,9/14/14
9/16/14,9/15/14
9/17/14,9/16/14
9/19/14,9/17/14
9/20/14,9/19/14
9/21/14,9/20/14
9/22/14,9/21/14
9/23/14,9/22/14
9/24/14,9/23/14
9/25/14,9/24/14
9/26/14,9/25/14
9/27/14,9/26/14
9/28/14,9/27/14
10/2/14,9/28/14
10/3/14,10/2/14
10/5/14,10/3/14
10/10/14,10/5/14
10/11/14,10/10/14
10/14/14,10/11/14
10/15/14,10/14/14
3/4/15,3/3/15
3/5/15,3/4/15
3/6/15,3/5/15
3/7/15,3/6/15
3/8/15,3/7/15
3/9/15,3/8/15
3/10/15,3/9/15
3/11/15,3/10/15
3/12/15,3/11/15
