0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
0.000173219,0.000173219,0.000173219,0.000173219,0.000173219,0.000173219,0.000173219,0.000173219,0.000173219,0.073734159,0.000173219,0.000173219,0.000173219,0.000173219,0.000173219,0.039850744,0.243594271,0.000173219,0.000173219,0.000173219,0.000173219,0.000173219,0.000173219,0.240187648,0.101765994,0.21851662,0.000173219,0.000173219,0.000173219,0.049952586,0.000173219,0.000173219,0.025122791,0.000173219,0.000173219,0.000173219,0.000173219,0.000173219,0.000173219,0.000173219,0.000173219,0.000173219,0.000173219,0.000173219,0.000173219,0.000173219,0.000173219,0.000173219,0.000173219,0.000173219
5.46E-05,5.46E-05,5.46E-05,5.46E-05,5.46E-05,5.46E-05,5.46E-05,5.46E-05,0.357885994,0.232085576,5.46E-05,5.46E-05,5.46E-05,5.46E-05,5.46E-05,5.46E-05,5.46E-05,5.46E-05,5.46E-05,5.46E-05,5.46E-05,5.46E-05,5.46E-05,5.46E-05,5.46E-05,0.407460124,5.46E-05,5.46E-05,5.46E-05,5.46E-05,5.46E-05,5.46E-05,5.46E-05,5.46E-05,5.46E-05,5.46E-05,5.46E-05,5.46E-05,5.46E-05,5.46E-05,5.46E-05,5.46E-05,5.46E-05,5.46E-05,5.46E-05,5.46E-05,5.46E-05,5.46E-05,5.46E-05,5.46E-05
2.01E-05,2.01E-05,2.01E-05,2.01E-05,2.01E-05,2.01E-05,2.01E-05,2.01E-05,0.999013092,2.01E-05,2.01E-05,2.01E-05,2.01E-05,2.01E-05,2.01E-05,2.01E-05,2.01E-05,2.01E-05,2.01E-05,2.01E-05,2.01E-05,2.01E-05,2.01E-05,2.01E-05,2.01E-05,2.01E-05,2.01E-05,2.01E-05,2.01E-05,2.01E-05,2.01E-05,2.01E-05,2.01E-05,2.01E-05,2.01E-05,2.01E-05,2.01E-05,2.01E-05,2.01E-05,2.01E-05,2.01E-05,2.01E-05,2.01E-05,2.01E-05,2.01E-05,2.01E-05,2.01E-05,2.01E-05,2.01E-05,2.01E-05
4.71E-05,4.71E-05,4.71E-05,4.71E-05,4.71E-05,4.71E-05,4.71E-05,4.71E-05,0.505164441,0.130343282,4.71E-05,4.71E-05,4.71E-05,4.71E-05,4.71E-05,4.71E-05,0.01930606,4.71E-05,4.71E-05,4.71E-05,4.71E-05,4.71E-05,4.71E-05,0.011998199,4.71E-05,0.331070371,4.71E-05,4.71E-05,4.71E-05,4.71E-05,4.71E-05,4.71E-05,4.71E-05,4.71E-05,4.71E-05,4.71E-05,4.71E-05,4.71E-05,4.71E-05,4.71E-05,4.71E-05,4.71E-05,4.71E-05,4.71E-05,4.71E-05,4.71E-05,4.71E-05,4.71E-05,4.71E-05,4.71E-05
6.22E-05,6.22E-05,6.22E-05,6.22E-05,6.22E-05,6.22E-05,6.22E-05,6.22E-05,0.062296071,0.184963478,6.22E-05,6.22E-05,6.22E-05,6.22E-05,6.22E-05,6.22E-05,0.093959197,6.22E-05,6.22E-05,6.22E-05,6.22E-05,6.22E-05,6.22E-05,0.010908043,0.118991803,0.514390869,6.22E-05,6.22E-05,6.22E-05,6.22E-05,6.22E-05,6.22E-05,0.011815476,6.22E-05,6.22E-05,6.22E-05,6.22E-05,6.22E-05,6.22E-05,6.22E-05,6.22E-05,6.22E-05,6.22E-05,6.22E-05,6.22E-05,6.22E-05,6.22E-05,6.22E-05,6.22E-05,6.22E-05
3.57E-05,3.57E-05,3.57E-05,3.57E-05,3.57E-05,3.57E-05,3.57E-05,3.57E-05,0.109837451,3.57E-05,3.57E-05,3.57E-05,3.57E-05,3.57E-05,3.57E-05,0.120002269,3.57E-05,3.57E-05,3.57E-05,3.57E-05,3.57E-05,3.57E-05,3.57E-05,0.012380909,0.359624146,0.277315645,3.57E-05,3.57E-05,3.57E-05,0.119268152,3.57E-05,3.57E-05,3.57E-05,3.57E-05,3.57E-05,3.57E-05,3.57E-05,3.57E-05,3.57E-05,3.57E-05,3.57E-05,3.57E-05,3.57E-05,3.57E-05,3.57E-05,3.57E-05,3.57E-05,3.57E-05,3.57E-05,3.57E-05
5.67E-05,5.67E-05,5.67E-05,5.67E-05,5.67E-05,5.67E-05,5.67E-05,5.67E-05,0.051855984,0.492612556,5.67E-05,5.67E-05,5.67E-05,5.67E-05,5.67E-05,0.036445282,5.67E-05,5.67E-05,5.67E-05,5.67E-05,5.67E-05,5.67E-05,5.67E-05,5.67E-05,0.05692403,0.309207631,5.67E-05,5.67E-05,5.67E-05,5.67E-05,5.67E-05,5.67E-05,0.050461598,5.67E-05,5.67E-05,5.67E-05,5.67E-05,5.67E-05,5.67E-05,5.67E-05,5.67E-05,5.67E-05,5.67E-05,5.67E-05,5.67E-05,5.67E-05,5.67E-05,5.67E-05,5.67E-05,5.67E-05
7.87E-05,7.87E-05,7.87E-05,7.87E-05,7.87E-05,7.87E-05,7.87E-05,7.87E-05,0.046351102,0.453767003,7.87E-05,7.87E-05,7.87E-05,7.87E-05,7.87E-05,7.87E-05,7.87E-05,7.87E-05,7.87E-05,7.87E-05,7.87E-05,7.87E-05,7.87E-05,7.87E-05,7.87E-05,0.496181108,7.87E-05,7.87E-05,7.87E-05,7.87E-05,7.87E-05,7.87E-05,7.87E-05,7.87E-05,7.87E-05,7.87E-05,7.87E-05,7.87E-05,7.87E-05,7.87E-05,7.87E-05,7.87E-05,7.87E-05,7.87E-05,7.87E-05,7.87E-05,7.87E-05,7.87E-05,7.87E-05,7.87E-05
5.60E-05,5.60E-05,5.60E-05,5.60E-05,5.60E-05,5.60E-05,5.60E-05,5.60E-05,0.048044703,0.094921567,5.60E-05,5.60E-05,5.60E-05,5.60E-05,5.60E-05,5.60E-05,5.60E-05,5.60E-05,5.60E-05,5.60E-05,5.60E-05,5.60E-05,5.60E-05,5.60E-05,5.60E-05,0.452471516,5.60E-05,5.60E-05,5.60E-05,0.401985184,5.60E-05,5.60E-05,5.60E-05,5.60E-05,5.60E-05,5.60E-05,5.60E-05,5.60E-05,5.60E-05,5.60E-05,5.60E-05,5.60E-05,5.60E-05,5.60E-05,5.60E-05,5.60E-05,5.60E-05,5.60E-05,5.60E-05,5.60E-05
8.00E-05,8.00E-05,8.00E-05,8.00E-05,8.00E-05,8.00E-05,8.00E-05,8.00E-05,0.042766181,0.204547316,8.00E-05,8.00E-05,8.00E-05,8.00E-05,8.00E-05,0.045814279,8.00E-05,8.00E-05,8.00E-05,8.00E-05,8.00E-05,8.00E-05,8.00E-05,0.020945966,8.00E-05,0.682326258,8.00E-05,8.00E-05,8.00E-05,8.00E-05,8.00E-05,8.00E-05,8.00E-05,8.00E-05,8.00E-05,8.00E-05,8.00E-05,8.00E-05,8.00E-05,8.00E-05,8.00E-05,8.00E-05,8.00E-05,8.00E-05,8.00E-05,8.00E-05,8.00E-05,8.00E-05,8.00E-05,8.00E-05
