dates,lda
3/2/14,"[0.00017321872564270003, 0.00017321872564270003, 0.00017321872564270003, 0.00017321872564270003, 0.00017321872564270003, 0.00017321872564270003, 0.00017321872564270003, 0.00017321872564270003, 0.00017321872564270003, 0.07373415938978158, 0.00017321872564270003, 0.00017321872564270003, 0.00017321872564270003, 0.00017321872564270003, 0.00017321872564270003, 0.03985074384503157, 0.2435942713572742, 0.00017321872564270003, 0.00017321872564270003, 0.00017321872564270003, 0.00017321872564270003, 0.00017321872564270003, 0.00017321872564270003, 0.2401876482656685, 0.10176599419464644, 0.2185166202958685, 0.00017321872564270003, 0.00017321872564270003, 0.00017321872564270003, 0.04995258553333258, 0.00017321872564270003, 0.00017321872564270003, 0.02512279064148158, 0.00017321872564270003, 0.00017321872564270003, 0.00017321872564270003, 0.00017321872564270003, 0.00017321872564270003, 0.00017321872564270003, 0.00017321872564270003, 0.00017321872564270003, 0.00017321872564270003, 0.00017321872564270003, 0.00017321872564270003, 0.00017321872564270003, 0.00017321872564270003, 0.00017321872564270003, 0.00017321872564270003, 0.00017321872564270003, 0.00017321872564270003]"
3/3/14,"[5.46448087432e-05, 5.46448087432e-05, 5.46448087432e-05, 5.46448087432e-05, 5.46448087432e-05, 5.46448087432e-05, 5.46448087432e-05, 5.46448087432e-05, 0.35788599357699996, 0.232085575958, 5.46448087432e-05, 5.46448087432e-05, 5.46448087432e-05, 5.46448087432e-05, 5.46448087432e-05, 5.46448087432e-05, 5.46448087432e-05, 5.46448087432e-05, 5.46448087432e-05, 5.46448087432e-05, 5.46448087432e-05, 5.46448087432e-05, 5.46448087432e-05, 5.46448087432e-05, 5.46448087432e-05, 0.407460124454, 5.46448087432e-05, 5.46448087432e-05, 5.46448087432e-05, 5.46448087432e-05, 5.46448087432e-05, 5.46448087432e-05, 5.46448087432e-05, 5.46448087432e-05, 5.46448087432e-05, 5.46448087432e-05, 5.46448087432e-05, 5.46448087432e-05, 5.46448087432e-05, 5.46448087432e-05, 5.46448087432e-05, 5.46448087432e-05, 5.46448087432e-05, 5.46448087432e-05, 5.46448087432e-05, 5.46448087432e-05, 5.46448087432e-05, 5.46448087432e-05, 5.46448087432e-05, 5.46448087432e-05]"
3/4/14,"[2.01409869084e-05, 2.01409869084e-05, 2.01409869084e-05, 2.01409869084e-05, 2.01409869084e-05, 2.01409869084e-05, 2.01409869084e-05, 2.01409869084e-05, 0.999013091641, 2.01409869084e-05, 2.01409869084e-05, 2.01409869084e-05, 2.01409869084e-05, 2.01409869084e-05, 2.01409869084e-05, 2.01409869084e-05, 2.01409869084e-05, 2.01409869084e-05, 2.01409869084e-05, 2.01409869084e-05, 2.01409869084e-05, 2.01409869084e-05, 2.01409869084e-05, 2.01409869084e-05, 2.01409869084e-05, 2.01409869084e-05, 2.01409869084e-05, 2.01409869084e-05, 2.01409869084e-05, 2.01409869084e-05, 2.01409869084e-05, 2.01409869084e-05, 2.01409869084e-05, 2.01409869084e-05, 2.01409869084e-05, 2.01409869084e-05, 2.01409869084e-05, 2.01409869084e-05, 2.01409869084e-05, 2.01409869084e-05, 2.01409869084e-05, 2.01409869084e-05, 2.01409869084e-05, 2.01409869084e-05, 2.01409869084e-05, 2.01409869084e-05, 2.01409869084e-05, 2.01409869084e-05, 2.01409869084e-05, 2.01409869084e-05]"
3/5/14,"[4.70588235294e-05, 4.70588235294e-05, 4.70588235294e-05, 4.70588235294e-05, 4.70588235294e-05, 4.70588235294e-05, 4.70588235294e-05, 4.70588235294e-05, 0.505164440688, 0.13034328237099999, 4.70588235294e-05, 4.70588235294e-05, 4.70588235294e-05, 4.70588235294e-05, 4.70588235294e-05, 4.70588235294e-05, 0.0193060598844, 4.70588235294e-05, 4.70588235294e-05, 4.70588235294e-05, 4.70588235294e-05, 4.70588235294e-05, 4.70588235294e-05, 0.0119981985247, 4.70588235294e-05, 0.331070371473, 4.70588235294e-05, 4.70588235294e-05, 4.70588235294e-05, 4.70588235294e-05, 4.70588235294e-05, 4.70588235294e-05, 4.70588235294e-05, 4.70588235294e-05, 4.70588235294e-05, 4.70588235294e-05, 4.70588235294e-05, 4.70588235294e-05, 4.70588235294e-05, 4.70588235294e-05, 4.70588235294e-05, 4.70588235294e-05, 4.70588235294e-05, 4.70588235294e-05, 4.70588235294e-05, 4.70588235294e-05, 4.70588235294e-05, 4.70588235294e-05, 4.70588235294e-05, 4.70588235294e-05]"
3/7/14,"[6.22107436069e-05, 6.22107436069e-05, 6.22107436069e-05, 6.22107436069e-05, 6.22107436069e-05, 6.22107436069e-05, 6.22107436069e-05, 6.22107436069e-05, 0.0622960706036, 0.18496347815769998, 6.22107436069e-05, 6.22107436069e-05, 6.22107436069e-05, 6.22107436069e-05, 6.22107436069e-05, 6.22107436069e-05, 0.0939591973770744, 6.22107436069e-05, 6.22107436069e-05, 6.22107436069e-05, 6.22107436069e-05, 6.22107436069e-05, 6.22107436069e-05, 0.0109080428765744, 0.1189918033815325, 0.5143908692995, 6.22107436069e-05, 6.22107436069e-05, 6.22107436069e-05, 6.22107436069e-05, 6.22107436069e-05, 6.22107436069e-05, 0.0118154763291325, 6.22107436069e-05, 6.22107436069e-05, 6.22107436069e-05, 6.22107436069e-05, 6.22107436069e-05, 6.22107436069e-05, 6.22107436069e-05, 6.22107436069e-05, 6.22107436069e-05, 6.22107436069e-05, 6.22107436069e-05, 6.22107436069e-05, 6.22107436069e-05, 6.22107436069e-05, 6.22107436069e-05, 6.22107436069e-05, 6.22107436069e-05]"
3/8/14,"[3.57142857143e-05, 3.57142857143e-05, 3.57142857143e-05, 3.57142857143e-05, 3.57142857143e-05, 3.57142857143e-05, 3.57142857143e-05, 3.57142857143e-05, 0.109837450513, 3.57142857143e-05, 3.57142857143e-05, 3.57142857143e-05, 3.57142857143e-05, 3.57142857143e-05, 3.57142857143e-05, 0.120002268637, 3.57142857143e-05, 3.57142857143e-05, 3.57142857143e-05, 3.57142857143e-05, 3.57142857143e-05, 3.57142857143e-05, 3.57142857143e-05, 0.012380909311799998, 0.359624146017, 0.27731564508400003, 3.57142857143e-05, 3.57142857143e-05, 3.57142857143e-05, 0.119268151866, 3.57142857143e-05, 3.57142857143e-05, 3.57142857143e-05, 3.57142857143e-05, 3.57142857143e-05, 3.57142857143e-05, 3.57142857143e-05, 3.57142857143e-05, 3.57142857143e-05, 3.57142857143e-05, 3.57142857143e-05, 3.57142857143e-05, 3.57142857143e-05, 3.57142857143e-05, 3.57142857143e-05, 3.57142857143e-05, 3.57142857143e-05, 3.57142857143e-05, 3.57142857143e-05, 3.57142857143e-05]"
3/9/14,"[5.6657223796000005e-05, 5.6657223796000005e-05, 5.6657223796000005e-05, 5.6657223796000005e-05, 5.6657223796000005e-05, 5.6657223796000005e-05, 5.6657223796000005e-05, 5.6657223796000005e-05, 0.05185598440480001, 0.49261255648900004, 5.6657223796000005e-05, 5.6657223796000005e-05, 5.6657223796000005e-05, 5.6657223796000005e-05, 5.6657223796000005e-05, 0.0364452815914, 5.6657223796000005e-05, 5.6657223796000005e-05, 5.6657223796000005e-05, 5.6657223796000005e-05, 5.6657223796000005e-05, 5.6657223796000005e-05, 5.6657223796000005e-05, 5.6657223796000005e-05, 0.056924030199, 0.309207631057, 5.6657223796000005e-05, 5.6657223796000005e-05, 5.6657223796000005e-05, 5.6657223796000005e-05, 5.6657223796000005e-05, 5.6657223796000005e-05, 0.0504615984124, 5.6657223796000005e-05, 5.6657223796000005e-05, 5.6657223796000005e-05, 5.6657223796000005e-05, 5.6657223796000005e-05, 5.6657223796000005e-05, 5.6657223796000005e-05, 5.6657223796000005e-05, 5.6657223796000005e-05, 5.6657223796000005e-05, 5.6657223796000005e-05, 5.6657223796000005e-05, 5.6657223796000005e-05, 5.6657223796000005e-05, 5.6657223796000005e-05, 5.6657223796000005e-05, 5.6657223796000005e-05]"
3/10/14,"[7.87401574803e-05, 7.87401574803e-05, 7.87401574803e-05, 7.87401574803e-05, 7.87401574803e-05, 7.87401574803e-05, 7.87401574803e-05, 7.87401574803e-05, 0.0463511018064, 0.45376700310199997, 7.87401574803e-05, 7.87401574803e-05, 7.87401574803e-05, 7.87401574803e-05, 7.87401574803e-05, 7.87401574803e-05, 7.87401574803e-05, 7.87401574803e-05, 7.87401574803e-05, 7.87401574803e-05, 7.87401574803e-05, 7.87401574803e-05, 7.87401574803e-05, 7.87401574803e-05, 7.87401574803e-05, 0.49618110768999996, 7.87401574803e-05, 7.87401574803e-05, 7.87401574803e-05, 7.87401574803e-05, 7.87401574803e-05, 7.87401574803e-05, 7.87401574803e-05, 7.87401574803e-05, 7.87401574803e-05, 7.87401574803e-05, 7.87401574803e-05, 7.87401574803e-05, 7.87401574803e-05, 7.87401574803e-05, 7.87401574803e-05, 7.87401574803e-05, 7.87401574803e-05, 7.87401574803e-05, 7.87401574803e-05, 7.87401574803e-05, 7.87401574803e-05, 7.87401574803e-05, 7.87401574803e-05, 7.87401574803e-05]"
3/11/14,"[5.60224089636e-05, 5.60224089636e-05, 5.60224089636e-05, 5.60224089636e-05, 5.60224089636e-05, 5.60224089636e-05, 5.60224089636e-05, 5.60224089636e-05, 0.04804470254840001, 0.09492156663899999, 5.60224089636e-05, 5.60224089636e-05, 5.60224089636e-05, 5.60224089636e-05, 5.60224089636e-05, 5.60224089636e-05, 5.60224089636e-05, 5.60224089636e-05, 5.60224089636e-05, 5.60224089636e-05, 5.60224089636e-05, 5.60224089636e-05, 5.60224089636e-05, 5.60224089636e-05, 5.60224089636e-05, 0.452471516382, 5.60224089636e-05, 5.60224089636e-05, 5.60224089636e-05, 0.401985183618, 5.60224089636e-05, 5.60224089636e-05, 5.60224089636e-05, 5.60224089636e-05, 5.60224089636e-05, 5.60224089636e-05, 5.60224089636e-05, 5.60224089636e-05, 5.60224089636e-05, 5.60224089636e-05, 5.60224089636e-05, 5.60224089636e-05, 5.60224089636e-05, 5.60224089636e-05, 5.60224089636e-05, 5.60224089636e-05, 5.60224089636e-05, 5.60224089636e-05, 5.60224089636e-05, 5.60224089636e-05]"
3/12/14,"[8e-05, 8e-05, 8e-05, 8e-05, 8e-05, 8e-05, 8e-05, 8e-05, 0.042766181024000004, 0.20454731631499998, 8e-05, 8e-05, 8e-05, 8e-05, 8e-05, 0.0458142791333, 8e-05, 8e-05, 8e-05, 8e-05, 8e-05, 8e-05, 8e-05, 0.0209459658545, 8e-05, 0.6823262576729999, 8e-05, 8e-05, 8e-05, 8e-05, 8e-05, 8e-05, 8e-05, 8e-05, 8e-05, 8e-05, 8e-05, 8e-05, 8e-05, 8e-05, 8e-05, 8e-05, 8e-05, 8e-05, 8e-05, 8e-05, 8e-05, 8e-05, 8e-05, 8e-05]"
