"['2014/03/01', '2014/03/02']","[-0.0011290328111499548, 0.2063799947500229, 0.228160098195076, 0.12061022967100143, 0.05324966832995415, 0.24199315905570984, -0.4145859479904175, 0.05096842348575592, 0.061763323843479156, -0.06132158637046814]"
"['2014/03/02', '2014/03/03']","[-0.016767406836152077, 0.15231366455554962, 0.09698118269443512, 0.15909674763679504, 0.04437316581606865, 0.20205162465572357, -0.37759262323379517, 0.05412732809782028, 0.16733689606189728, -0.15999610722064972]"
"['2014/03/03', '2014/03/04']","[-0.12249718606472015, 0.039877623319625854, 0.16202588379383087, -0.05308892950415611, -0.056785255670547485, 0.15586450695991516, -0.2431599348783493, -0.0903809517621994, -0.05334020406007767, -0.06010819971561432]"
"['2014/03/04', '2014/03/05']","[0.05411766469478607, 0.16863250732421875, 0.30061107873916626, 0.03945458307862282, 0.08503717929124832, 0.33573928475379944, -0.3948383927345276, -0.008084332570433617, 0.029578031972050667, -0.04514557123184204]"
"['2014/03/05', '2014/03/07']","[-0.2053961455821991, 0.29726770520210266, 0.1877284198999405, 0.15964651107788086, 0.07151195406913757, 0.06438322365283966, -0.5007085800170898, 0.1363217830657959, 0.2703988254070282, -0.1468033492565155]"
"['2014/03/07', '2014/03/08']","[-0.11092106252908707, -0.001304485835134983, 0.09165231138467789, -0.01834317110478878, -0.011906594038009644, 0.22716283798217773, -0.23889689147472382, -0.07592001557350159, -0.01046961359679699, -0.14014983177185059]"
"['2014/03/08', '2014/03/09']","[-0.17268475890159607, 0.06544850021600723, 0.14540430903434753, 0.028982264921069145, 0.0023531662300229073, 0.00105397985316813, -0.1873081475496292, -0.0010463912039995193, 0.11820781230926514, -0.15265876054763794]"
"['2014/03/09', '2014/03/10']","[-0.03756360709667206, 0.20846523344516754, 0.5534805059432983, -0.02626965381205082, 0.1660749912261963, 0.13097868859767914, -0.2744438648223877, 0.03032795526087284, 0.13290461897850037, -0.06255976855754852]"
"['2014/03/10', '2014/03/11']","[-0.0313810333609581, 0.160160094499588, 0.34574800729751587, -0.04101482406258583, 0.13705813884735107, 0.21654684841632843, -0.27866387367248535, 0.011533310636878014, 0.07382064312696457, -0.03644465655088425]"
"['2014/03/11', '2014/03/12']","[0.17465567588806152, 0.1726905256509781, 0.19397595524787903, 0.09854359924793243, 0.12998999655246735, 0.333082377910614, -0.34230101108551025, 0.039191097021102905, 0.0503775030374527, -0.0016955076716840267]"
"['2014/03/12', '2014/03/13']","[-0.09248752892017365, 0.14631129801273346, 0.3114077150821686, 0.08040616661310196, -0.055135417729616165, 0.3757990002632141, -0.5486144423484802, -0.06622123718261719, 0.0036029494367539883, -0.17736048996448517]"
"['2014/03/13', '2014/03/15']","[-0.13582849502563477, 0.027307379990816116, 0.13929606974124908, -0.036216408014297485, -0.04764821007847786, 0.225063294172287, -0.2698778808116913, -0.08374136686325073, -0.03432343900203705, -0.11823510378599167]"
"['2014/03/15', '2014/03/16']","[-0.04853065311908722, 0.23268403112888336, 0.40963760018348694, 0.05069650709629059, 0.10881173610687256, 0.2798638939857483, -0.4441720247268677, 0.04314355552196503, 0.11373959481716156, -0.1033855602145195]"
"['2014/03/16', '2014/03/19']","[0.07829934358596802, 0.18661615252494812, 0.3538433015346527, 0.03608907014131546, 0.13737867772579193, 0.27509021759033203, -0.31912660598754883, 0.03171108663082123, 0.0971161350607872, -0.04788520932197571]"
"['2014/03/19', '2014/03/20']","[0.039199501276016235, 0.016340063884854317, 0.0660945400595665, 0.0013384794583544135, -0.02340415120124817, 0.1490187644958496, -0.13883787393569946, -0.05982073396444321, -0.024534286931157112, -0.03069268725812435]"
"['2014/03/20', '2014/03/21']","[-0.05231732130050659, 0.26912397146224976, 0.26219794154167175, 0.10839484632015228, 0.09361465275287628, 0.14698117971420288, -0.4216530919075012, 0.09794260561466217, 0.17083846032619476, -0.05849379301071167]"
"['2014/03/21', '2014/03/25']","[-0.040542714297771454, 0.14345334470272064, 0.36242204904556274, -0.030260512605309486, 0.06332755833864212, 0.2796647250652313, -0.3535799980163574, -0.0375978946685791, 0.02464279718697071, -0.06815363466739655]"
"['2014/03/25', '2014/03/26']","[-0.06459151208400726, -0.04102857783436775, -0.11225299537181854, 0.011289394460618496, -0.14045658707618713, 0.16864046454429626, -0.16787509620189667, -0.09358615428209305, -0.09630540013313293, -0.07067115604877472]"
"['2014/03/26', '2014/03/27']","[-0.10158766806125641, -0.023389216512441635, 0.2701817750930786, -0.13861165940761566, 0.046007998287677765, 0.19476012885570526, -0.10216531157493591, -0.09974687546491623, -0.00854337215423584, -0.1168774962425232]"
"['2014/03/27', '2014/03/29']","[0.055603958666324615, 0.19700394570827484, 0.3220385015010834, 0.082795649766922, 0.13180972635746002, 0.265578031539917, -0.3433626890182495, 0.05890187621116638, 0.15127451717853546, -0.10189260542392731]"
